trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794000,-0.006000,1.4200,-2.0300,3.6635,none,1.4200,0.0000,-1104.6380,9468.7510,4825.4800,-268.4819,2870.9357,1621.3620,10684.6960
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792300,-0.007700,1.4200,-2.0300,3.7515,none,1.4200,0.0000,-1108.8450,9471.1570,4836.1270,-272.6889,2873.3417,1632.0090,10692.0754
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792900,-0.007100,1.4200,-2.0300,3.8395,none,1.4200,0.0000,-1102.2330,9471.7600,4827.4160,-266.0769,2873.9447,1623.2980,10687.9886
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792900,-0.007100,1.4200,-2.0300,3.9275,none,1.4200,0.0000,-1110.0460,9467.5520,4832.2560,-273.8899,2869.7367,1628.1380,10687.2560
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794000,-0.006000,1.4200,-2.0300,4.0156,none,1.4200,0.0000,-1106.4400,9472.3570,4833.2230,-270.2839,2874.5417,1629.1050,10691.5762
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792900,-0.007100,1.4200,-2.0300,4.1037,none,1.4200,0.0000,-1109.4450,9468.7510,4833.2230,-273.2889,2870.9357,1629.1050,10688.6930
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.793000,-0.007000,1.4200,-2.0300,4.1917,none,1.4200,0.0000,-1099.2280,9471.7600,4828.3830,-263.0719,2873.9447,1624.2650,10688.1159
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.791700,-0.008300,1.4200,-2.0300,4.2797,none,1.4200,0.0000,-1110.0460,9481.3750,4839.0310,-273.8899,2883.5597,1634.9130,10702.5649
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.790800,-0.009200,1.4200,-2.0300,4.3678,none,1.4200,0.0000,-1102.8340,9477.7650,4836.1270,-266.6779,2879.9497,1632.0090,10697.3079
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792800,-0.007200,1.4200,-2.0300,4.4558,none,1.4200,0.0000,-1105.2380,9471.7600,4832.2560,-269.0819,2873.9447,1628.1380,10690.4858
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792900,-0.007100,1.4200,-2.0300,4.5439,none,1.4200,0.0000,-1107.0410,9475.9620,4826.4480,-270.8849,2878.1467,1622.3300,10691.7723
