Bx_uT,By_uT,Bz_uT
5.933999999999999773e+02,-1.387349999999999909e+03,-5.022952000000000226e+03
5.937000000000000455e+02,-1.387349999999999909e+03,-5.022952000000000226e+03
5.935499999999999545e+02,-1.387199000000000069e+03,-5.024407000000000153e+03
5.933999999999999773e+02,-1.386599999999999909e+03,-5.022225999999999658e+03
5.938490000000000464e+02,-1.387199000000000069e+03,-5.025372999999999593e+03
5.929500000000000455e+02,-1.387500000000000000e+03,-5.022952000000000226e+03
5.930990000000000464e+02,-1.385699000000000069e+03,-5.025372999999999593e+03
5.932500000000000000e+02,-1.386299999999999955e+03,-5.022469000000000051e+03
5.935499999999999545e+02,-1.387049999999999955e+03,-5.024648000000000138e+03
5.935499999999999545e+02,-1.387500000000000000e+03,-5.024886999999999716e+03
5.935499999999999545e+02,-1.387199000000000069e+03,-5.023679000000000087e+03
5.926499999999999773e+02,-1.387199000000000069e+03,-5.027065999999999804e+03
5.927999999999999545e+02,-1.387199000000000069e+03,-5.023436999999999898e+03
5.932500000000000000e+02,-1.387500000000000000e+03,-5.024407000000000153e+03
5.929500000000000455e+02,-1.386449000000000069e+03,-5.022711000000000240e+03
5.940000000000000000e+02,-1.386900000000000091e+03,-5.025614999999999782e+03
5.933999999999999773e+02,-1.387049999999999955e+03,-5.025130000000000109e+03
5.933999999999999773e+02,-1.386750000000000000e+03,-5.021984000000000378e+03
5.929500000000000455e+02,-1.387650000000000091e+03,-5.022469000000000051e+03
5.938490000000000464e+02,-1.387799999999999955e+03,-5.021501000000000204e+03
5.935499999999999545e+02,-1.386449000000000069e+03,-5.024407000000000153e+03
5.933999999999999773e+02,-1.386900000000000091e+03,-5.024648000000000138e+03
5.935499999999999545e+02,-1.386900000000000091e+03,-5.022225999999999658e+03
5.938490000000000464e+02,-1.387500000000000000e+03,-5.023194000000000415e+03
5.927999999999999545e+02,-1.387650000000000091e+03,-5.022711000000000240e+03
5.933999999999999773e+02,-1.386900000000000091e+03,-5.023679000000000087e+03
5.930990000000000464e+02,-1.387349999999999909e+03,-5.019564999999999600e+03
5.932500000000000000e+02,-1.387650000000000091e+03,-5.022952000000000226e+03
5.926499999999999773e+02,-1.388699000000000069e+03,-5.023436999999999898e+03
5.930990000000000464e+02,-1.387799999999999955e+03,-5.022711000000000240e+03
5.938490000000000464e+02,-1.387650000000000091e+03,-5.022225999999999658e+03
5.935499999999999545e+02,-1.387949000000000069e+03,-5.023920000000000073e+03
5.941499999999999773e+02,-1.387049999999999955e+03,-5.022711000000000240e+03
5.926499999999999773e+02,-1.386750000000000000e+03,-5.021984000000000378e+03
5.935499999999999545e+02,-1.387349999999999909e+03,-5.024886999999999716e+03
5.938490000000000464e+02,-1.386449000000000069e+03,-5.023679000000000087e+03
5.942999999999999545e+02,-1.387049999999999955e+03,-5.023436999999999898e+03
5.941499999999999773e+02,-1.387650000000000091e+03,-5.022225999999999658e+03
5.930990000000000464e+02,-1.388099999999999909e+03,-5.023920000000000073e+03
5.933999999999999773e+02,-1.387650000000000091e+03,-5.023194000000000415e+03
5.937000000000000455e+02,-1.386750000000000000e+03,-5.022469000000000051e+03
5.938490000000000464e+02,-1.387949000000000069e+03,-5.024162000000000262e+03
5.937000000000000455e+02,-1.387349999999999909e+03,-5.024648000000000138e+03
5.935499999999999545e+02,-1.387049999999999955e+03,-5.024648000000000138e+03
5.933999999999999773e+02,-1.386449000000000069e+03,-5.023436999999999898e+03
5.933999999999999773e+02,-1.387049999999999955e+03,-5.023436999999999898e+03
5.929500000000000455e+02,-1.387949000000000069e+03,-5.023679000000000087e+03
5.932500000000000000e+02,-1.387049999999999955e+03,-5.023920000000000073e+03
5.930990000000000464e+02,-1.388099999999999909e+03,-5.024648000000000138e+03
5.929500000000000455e+02,-1.387949000000000069e+03,-5.025372999999999593e+03
5.932500000000000000e+02,-1.387650000000000091e+03,-5.025614999999999782e+03
5.933999999999999773e+02,-1.387199000000000069e+03,-5.025130000000000109e+03
5.932500000000000000e+02,-1.387199000000000069e+03,-5.025372999999999593e+03
5.932500000000000000e+02,-1.387949000000000069e+03,-5.024162000000000262e+03
5.938490000000000464e+02,-1.386900000000000091e+03,-5.024407000000000153e+03
5.937000000000000455e+02,-1.387199000000000069e+03,-5.026097999999999956e+03
5.935499999999999545e+02,-1.386150000000000091e+03,-5.024407000000000153e+03
5.938490000000000464e+02,-1.386449000000000069e+03,-5.025130000000000109e+03
5.932500000000000000e+02,-1.386900000000000091e+03,-5.025130000000000109e+03
5.933999999999999773e+02,-1.387349999999999909e+03,-5.024162000000000262e+03
5.930990000000000464e+02,-1.386900000000000091e+03,-5.024648000000000138e+03
5.927999999999999545e+02,-1.386900000000000091e+03,-5.117815999999999804e+03
5.765990000000000464e+02,-1.375049999999999955e+03,-5.510582999999999629e+03
5.498999999999999773e+02,-1.344150000000000091e+03,-5.941100999999999658e+03
5.212500000000000000e+02,-1.301699000000000069e+03,-6.376943000000000211e+03
4.941000000000000227e+02,-1.270799999999999955e+03,-6.780113999999999578e+03
4.702500000000000000e+02,-1.235849999999999909e+03,-7.159328000000000429e+03
4.462500000000000000e+02,-1.192349999999999909e+03,-7.541444999999999709e+03
4.255489999999999782e+02,-1.168799999999999955e+03,-7.874679000000000087e+03
4.051499999999999773e+02,-1.141650000000000091e+03,7.673336000000000240e+03
3.878999999999999773e+02,-1.109849999999999909e+03,7.376159999999999854e+03
3.700489999999999782e+02,-1.077599999999999909e+03,7.097858000000000175e+03
3.529499999999999886e+02,-1.049099999999999909e+03,6.815444999999999709e+03
3.373500000000000227e+02,-1.020899999999999977e+03,6.566429000000000087e+03
3.220489999999999782e+02,-9.930000000000000000e+02,6.331202000000000226e+03
3.086999999999999886e+02,-9.665990000000000464e+02,6.109529999999999745e+03
2.956499999999999773e+02,-9.398999999999999773e+02,5.884470999999999549e+03
2.845489999999999782e+02,-9.167999999999999545e+02,5.682885000000000218e+03
2.741999999999999886e+02,-8.922000000000000455e+02,5.491703999999999724e+03
2.627989999999999782e+02,-8.692500000000000000e+02,5.354734999999999673e+03
