trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.0498,1.952000,-1132.8840,9660.4690,2966.9200,-280.3008,3418.0516,879.0213,10169.1053
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.1377,1.960400,-1132.2830,9662.2720,2962.0800,-279.6998,3419.8546,874.1813,10169.3403
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.2257,1.960800,-1131.0810,9664.0790,2964.9840,-278.4978,3421.6616,877.0853,10171.7696
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.3140,1.948500,-1126.2730,9655.6630,2961.1110,-273.6898,3413.2456,873.2123,10162.1109
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.4017,1.948500,-1125.6720,9658.0640,2960.1440,-273.0888,3415.6466,872.2453,10164.0440
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.4906,1.948000,-1128.6770,9661.6740,2962.0800,-276.0938,3419.2566,874.1813,10168.3713
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.5778,1.940300,-1125.0710,9659.2690,2965.9530,-272.4878,3416.8516,878.0543,10166.8156
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.6658,1.940200,-1133.4850,9652.6560,2961.1110,-280.9018,3410.2386,873.2123,10160.0558
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.7542,1.940500,-1128.6770,9655.6630,2966.9200,-276.0938,3413.2456,879.0213,10164.0717
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,3.8430,1.944300,-1132.2830,9661.6740,2965.9530,-279.6998,3419.2566,878.0543,10169.9010
