# APMD fixed-force passive creep session 20260609_140100
# metadata={'sample_id': '', 'magnet_id': '', 'head_id': 'stamp_head_v1', 'force_calibration_id': 'force_calibration_20260602_190856', 'displacement_zero_id': 'stageD_session_20260602_201421'}
# F_HOLDS=[(450, 4.5)], HOLD_S=180.0, N_TRIALS=3
# live_tare_N=-2.94080
# B0=(-465.0416556291391, 2867.676284768212, 3307.835238410596)
# trial_start_pos=-0.0000
[trial 1 hold 450] contact_pos=-1.6900 F=0.2028 baseline=0.1132 dF_base=0.0896 dF_step=0.0372 slope=0.3100
[trial 1 hold 450 acquire] iter=87 targetF=4.5000 F=5.2363 err=-0.7363 d=2.7100 pos=-4.4000
[trial 1 hold 450 acquire] iter=88 targetF=4.5000 F=3.6692 err=0.8308 d=2.5800 pos=-4.2700
[trial 1 hold 450 acquire] iter=89 targetF=4.5000 F=5.2334 err=-0.7334 d=2.7100 pos=-4.4000
[trial 1 hold 450 acquire] iter=90 targetF=4.5000 F=3.6700 err=0.8300 d=2.5800 pos=-4.2700
[trial 1 hold 450 acquire] iter=91 targetF=4.5000 F=5.2293 err=-0.7293 d=2.7100 pos=-4.4000
[trial 1 hold 450 acquire] iter=92 targetF=4.5000 F=3.6691 err=0.8309 d=2.5800 pos=-4.2700
[trial 1 hold 450 acquire] iter=93 targetF=4.5000 F=5.2264 err=-0.7264 d=2.7100 pos=-4.4000
[trial 1 hold 450 acquire] iter=94 targetF=4.5000 F=3.6644 err=0.8356 d=2.5800 pos=-4.2700
[trial 1 hold 450 acquire] iter=95 targetF=4.5000 F=5.2189 err=-0.7189 d=2.7100 pos=-4.4000
[trial 1 hold 450 acquire] iter=96 targetF=4.5000 F=3.6474 err=0.8526 d=2.5800 pos=-4.2700
[trial 1 hold 450 acquire] iter=97 targetF=4.5000 F=5.2146 err=-0.7146 d=2.7100 pos=-4.4000
[trial 1 hold 450 acquire] iter=98 targetF=4.5000 F=3.6399 err=0.8601 d=2.5800 pos=-4.2700
[trial 1 hold 450 acquire] iter=99 targetF=4.5000 F=5.2132 err=-0.7132 d=2.7100 pos=-4.4000
[trial 1 hold 450 acquire] iter=100 targetF=4.5000 F=3.6402 err=0.8598 d=2.5800 pos=-4.2700
[trial 1 hold 450] skipped status=max_iters F=3.6402 d=2.7100
[trial 2 hold 450] contact_pos=-1.7500 F=0.2060 baseline=0.1199 dF_base=0.0861 dF_step=0.0328 slope=0.3285
[trial 2 hold 450 acquire] iter=1 targetF=4.5000 F=0.2047 err=4.2953 d=0.0000 pos=-1.7500
[trial 2 hold 450 acquire] iter=2 targetF=4.5000 F=0.2816 err=4.2184 d=0.1600 pos=-1.9100
[trial 2 hold 450 acquire] iter=3 targetF=4.5000 F=0.3544 err=4.1456 d=0.3200 pos=-2.0700
[trial 2 hold 450 acquire] iter=4 targetF=4.5000 F=0.4619 err=4.0381 d=0.4900 pos=-2.2400
[trial 2 hold 450 acquire] iter=5 targetF=4.5000 F=0.5923 err=3.9077 d=0.6600 pos=-2.4100
[trial 2 hold 450 acquire] iter=6 targetF=4.5000 F=0.7537 err=3.7463 d=0.8200 pos=-2.5700
[trial 2 hold 450 acquire] iter=7 targetF=4.5000 F=0.9289 err=3.5711 d=0.9900 pos=-2.7400
[trial 2 hold 450 acquire] iter=8 targetF=4.5000 F=1.1465 err=3.3535 d=1.1600 pos=-2.9100
[trial 2 hold 450 acquire] iter=9 targetF=4.5000 F=1.3933 err=3.1067 d=1.3200 pos=-3.0700
[trial 2 hold 450 acquire] iter=10 targetF=4.5000 F=1.6844 err=2.8156 d=1.4900 pos=-3.2400
[trial 2 hold 450 acquire] iter=11 targetF=4.5000 F=2.0192 err=2.4808 d=1.6600 pos=-3.4100
[trial 2 hold 450 acquire] iter=12 targetF=4.5000 F=2.3966 err=2.1034 d=1.8200 pos=-3.5700
[trial 2 hold 450 acquire] iter=13 targetF=4.5000 F=2.8418 err=1.6582 d=1.9900 pos=-3.7400
[trial 2 hold 450 acquire] iter=14 targetF=4.5000 F=3.3684 err=1.1316 d=2.1600 pos=-3.9100
[trial 2 hold 450 acquire] iter=15 targetF=4.5000 F=4.0046 err=0.4954 d=2.3200 pos=-4.0700
[trial 2 hold 450 acquire] iter=16 targetF=4.5000 F=4.3532 err=0.1468 d=2.4000 pos=-4.1500
[trial 2 hold 450 acquire] iter=17 targetF=4.5000 F=4.4856 err=0.0144 d=2.4200 pos=-4.1700
[trial 2 hold 450] done n=45 corrections=45 dF=+0.204900 dd=+0.270000 dB=+1.5323
[trial 3 hold 450] contact_pos=-1.7100 F=0.1977 baseline=0.1153 dF_base=0.0824 dF_step=0.0353 slope=0.3525
[trial 3 hold 450 acquire] iter=1 targetF=4.5000 F=0.1971 err=4.3029 d=0.0000 pos=-1.7100
[trial 3 hold 450 acquire] iter=2 targetF=4.5000 F=0.2659 err=4.2341 d=0.1700 pos=-1.8800
[trial 3 hold 450 acquire] iter=3 targetF=4.5000 F=0.3461 err=4.1539 d=0.3400 pos=-2.0500
[trial 3 hold 450 acquire] iter=4 targetF=4.5000 F=0.4501 err=4.0499 d=0.5100 pos=-2.2200
[trial 3 hold 450 acquire] iter=5 targetF=4.5000 F=0.5588 err=3.9412 d=0.6800 pos=-2.3900
[trial 3 hold 450 acquire] iter=6 targetF=4.5000 F=0.7285 err=3.7715 d=0.8400 pos=-2.5500
[trial 3 hold 450 acquire] iter=7 targetF=4.5000 F=0.8931 err=3.6069 d=1.0100 pos=-2.7200
[trial 3 hold 450 acquire] iter=8 targetF=4.5000 F=1.1019 err=3.3981 d=1.1800 pos=-2.8900
[trial 3 hold 450 acquire] iter=9 targetF=4.5000 F=1.3534 err=3.1466 d=1.3400 pos=-3.0500
[trial 3 hold 450 acquire] iter=10 targetF=4.5000 F=1.6127 err=2.8873 d=1.5100 pos=-3.2200
[trial 3 hold 450 acquire] iter=11 targetF=4.5000 F=1.9466 err=2.5534 d=1.6800 pos=-3.3900
[trial 3 hold 450 acquire] iter=12 targetF=4.5000 F=2.3223 err=2.1777 d=1.8400 pos=-3.5500
[trial 3 hold 450 acquire] iter=13 targetF=4.5000 F=2.7494 err=1.7506 d=2.0100 pos=-3.7200
[trial 3 hold 450 acquire] iter=14 targetF=4.5000 F=3.2527 err=1.2473 d=2.1800 pos=-3.8900
[trial 3 hold 450 acquire] iter=15 targetF=4.5000 F=3.8578 err=0.6422 d=2.3400 pos=-4.0500
[trial 3 hold 450 acquire] iter=16 targetF=4.5000 F=4.3491 err=0.1509 d=2.4600 pos=-4.1700
[trial 3 hold 450 acquire] iter=17 targetF=4.5000 F=4.4810 err=0.0190 d=2.4800 pos=-4.1900
[trial 3 hold 450] done n=45 corrections=45 dF=+0.210200 dd=+0.380000 dB=+5.3681
