trial,hold_label,phase,control_mode,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.3012,2.947700,1115.4550,-6597.1750,10333.4020,393.8724,-7381.3960,5800.1755,12310.4084
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.3889,2.949600,1116.0560,-6597.7760,10332.4320,394.4734,-7381.9970,5799.2055,12309.9708
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.4771,2.949800,1114.8540,-6604.3860,10340.1760,393.2714,-7388.6070,5806.9495,12319.9048
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.5650,2.948400,1118.4600,-6599.5780,10342.1110,396.8774,-7383.7990,5808.8845,12319.2793
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.6530,2.948900,1117.8590,-6595.3730,10335.3380,396.2764,-7379.5940,5802.1115,12311.2861
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.7409,2.946500,1119.0610,-6601.3830,10332.4320,397.4784,-7385.6040,5799.2055,12312.1771
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.8292,2.946400,1120.8650,-6597.1750,10338.2390,399.2824,-7381.3960,5805.0125,12314.9601
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.9169,2.948400,1117.2580,-6598.9760,10338.2390,395.6754,-7383.1970,5805.0125,12315.5972
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.0049,2.945700,1114.2530,-6597.7760,10339.2100,392.6704,-7381.9970,5805.9835,12315.4972
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.0929,2.945400,1110.0460,-6601.9840,10338.2390,388.4634,-7386.2050,5805.0125,12316.5572
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.1811,2.946300,1116.0560,-6595.9730,10334.3680,394.4734,-7380.1940,5801.1415,12310.6297
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.2694,2.945300,1116.6580,-6598.3760,10330.4960,395.0754,-7382.5970,5797.2695,12308.7221
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.3575,2.945100,1119.6620,-6598.9760,10339.2100,398.0794,-7383.1970,5805.9835,12316.6307
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.4450,2.944800,1116.6580,-6598.9760,10338.2390,395.0754,-7383.1970,5805.0125,12315.5428
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.5330,2.945800,1121.4650,-6596.5750,10337.2690,399.8824,-7380.7960,5804.0425,12313.8790
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.6210,2.943500,1117.2580,-6597.7760,10334.3680,395.6754,-7381.9970,5801.1415,12311.7048
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.7090,2.943700,1119.0610,-6600.1780,10338.2390,397.4784,-7384.3990,5805.0125,12316.4050
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.7977,2.945300,1114.8540,-6603.1840,10336.3040,393.2714,-7387.4050,5803.0775,12316.0107
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.8853,2.944000,1113.6520,-6601.3830,10335.3380,392.0694,-7385.6040,5802.1115,12314.1256
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,7.9731,2.944300,1116.6580,-6604.9890,10338.2390,395.0754,-7389.2100,5805.0125,12318.7658
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.0611,2.944400,1114.2530,-6598.3760,10341.1460,392.6704,-7382.5970,5807.9195,12317.4440
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.1490,2.943700,1115.4550,-6605.5890,10341.1460,393.8724,-7389.8100,5807.9195,12321.4182
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.2371,2.943100,1117.2580,-6598.3760,10340.1760,395.6754,-7382.5970,5806.9495,12316.9018
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.3250,2.942600,1116.0560,-6601.9840,10338.2390,394.4734,-7386.2050,5805.0125,12317.1003
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.4131,2.942200,1120.2630,-6598.9760,10335.3380,398.6804,-7383.1970,5802.1115,12313.4351
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.5015,2.941700,1120.2630,-6595.9730,10339.2100,398.6804,-7380.1940,5805.9835,12315.0766
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.5902,2.942300,1118.4600,-6600.7810,10336.3040,396.8774,-7385.0020,5803.0775,12315.0495
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.6773,2.941900,1119.0610,-6598.9760,10334.3680,397.4784,-7383.1970,5801.1415,12312.5117
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.7655,2.941600,1116.6580,-6601.3830,10334.3680,395.0754,-7385.6040,5801.1415,12313.5837
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.8533,2.943500,1117.8590,-6600.1780,10334.3680,396.2764,-7384.3990,5801.1415,12313.0468
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,8.9413,2.941400,1117.8590,-6594.1700,10334.3680,396.2764,-7378.3910,5801.1415,12309.8273
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.0292,2.942300,1117.8590,-6602.5840,10345.0180,396.2764,-7386.8050,5811.7915,12323.2756
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.1173,2.944000,1117.2580,-6600.1780,10333.4020,395.6754,-7384.3990,5800.1755,12312.1814
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,9.2053,2.942000,1119.0610,-6597.7760,10339.2100,397.4784,-7381.9970,5805.9835,12315.9331
