t_s,Bx_uT,By_uT,Bz_uT
9.382297277450561523e+00,2.815489999999999782e+02,-1.169099999999999909e+03,-3.466891000000000076e+03
9.452764272689819336e+00,2.818500000000000227e+02,-1.168349999999999909e+03,-3.465440000000000055e+03
9.518662214279174805e+00,2.813999999999999773e+02,-1.169099999999999909e+03,-3.466166000000000167e+03
9.584737062454223633e+00,2.824499999999999886e+02,-1.169099999999999909e+03,-3.466166000000000167e+03
9.650723218917846680e+00,2.818500000000000227e+02,-1.170150000000000091e+03,-3.466407999999999902e+03
9.716727018356323242e+00,2.816999999999999886e+02,-1.168500000000000000e+03,-3.466648999999999887e+03
9.787292242050170898e+00,2.816999999999999886e+02,-1.169699000000000069e+03,-3.467134000000000015e+03
9.853455305099487305e+00,2.809499999999999886e+02,-1.169099999999999909e+03,-3.467376000000000204e+03
9.919550180435180664e+00,2.812500000000000000e+02,-1.168650000000000091e+03,-3.465440000000000055e+03
9.985489130020141602e+00,2.805000000000000000e+02,-1.169250000000000000e+03,-3.466891000000000076e+03
1.005150413513183594e+01,2.815489999999999782e+02,-1.169400000000000091e+03,-3.466407999999999902e+03
1.012238931655883789e+01,2.815489999999999782e+02,-1.168949000000000069e+03,-3.467134000000000015e+03
1.018833208084106445e+01,2.812500000000000000e+02,-1.168949000000000069e+03,-3.468101000000000113e+03
1.025441312789916992e+01,2.809499999999999886e+02,-1.168650000000000091e+03,-3.467858999999999924e+03
1.032041215896606445e+01,2.815489999999999782e+02,-1.169250000000000000e+03,-3.468101000000000113e+03
1.039088821411132812e+01,2.816999999999999886e+02,-1.169699000000000069e+03,-3.467617999999999938e+03
1.045683312416076660e+01,2.815489999999999782e+02,-1.169549999999999955e+03,-3.466891000000000076e+03
1.052286124229431152e+01,2.812500000000000000e+02,-1.168650000000000091e+03,-3.467858999999999924e+03
1.058887815475463867e+01,2.813999999999999773e+02,-1.168799999999999955e+03,-3.468101000000000113e+03
1.065508723258972168e+01,2.818500000000000227e+02,-1.169250000000000000e+03,-3.466648999999999887e+03
1.072585320472717285e+01,2.815489999999999782e+02,-1.168650000000000091e+03,-3.467617999999999938e+03
1.079183316230773926e+01,2.818500000000000227e+02,-1.168799999999999955e+03,-3.467617999999999938e+03
1.085808110237121582e+01,2.821499999999999773e+02,-1.169549999999999955e+03,-3.467617999999999938e+03
1.092406606674194336e+01,2.815489999999999782e+02,-1.169549999999999955e+03,-3.467376000000000204e+03
1.099007010459899902e+01,2.809499999999999886e+02,-1.168799999999999955e+03,-3.467134000000000015e+03
1.106093621253967285e+01,2.822989999999999782e+02,-1.168799999999999955e+03,-3.466166000000000167e+03
1.112688112258911133e+01,2.816999999999999886e+02,-1.169250000000000000e+03,-3.467858999999999924e+03
1.119310927391052246e+01,2.816999999999999886e+02,-1.169549999999999955e+03,-3.466166000000000167e+03
1.125910115242004395e+01,2.809499999999999886e+02,-1.169250000000000000e+03,-3.466166000000000167e+03
1.132957005500793457e+01,2.806499999999999773e+02,-1.168949000000000069e+03,-3.467376000000000204e+03
1.139542126655578613e+01,2.816999999999999886e+02,-1.169549999999999955e+03,-3.467376000000000204e+03
1.146149230003356934e+01,2.811000000000000227e+02,-1.169099999999999909e+03,-3.468585999999999785e+03
1.152753615379333496e+01,2.818500000000000227e+02,-1.168799999999999955e+03,-3.467617999999999938e+03
1.159359622001647949e+01,2.812500000000000000e+02,-1.168349999999999909e+03,-3.466891000000000076e+03
1.166420316696166992e+01,2.812500000000000000e+02,-1.168799999999999955e+03,-3.466407999999999902e+03
1.173017024993896484e+01,2.815489999999999782e+02,-1.168049999999999955e+03,-3.466166000000000167e+03
1.179626011848449707e+01,2.807989999999999782e+02,-1.169400000000000091e+03,-3.466648999999999887e+03
1.186216235160827637e+01,2.818500000000000227e+02,-1.168949000000000069e+03,-3.466166000000000167e+03
1.192818117141723633e+01,2.818500000000000227e+02,-1.169250000000000000e+03,-3.465923999999999978e+03
1.199902319908142090e+01,2.815489999999999782e+02,-1.169250000000000000e+03,-3.466648999999999887e+03
1.206507539749145508e+01,2.818500000000000227e+02,-1.169099999999999909e+03,-3.466891000000000076e+03
1.213110017776489258e+01,2.813999999999999773e+02,-1.168949000000000069e+03,-3.464956000000000131e+03
1.219710421562194824e+01,2.811000000000000227e+02,-1.168500000000000000e+03,-3.467858999999999924e+03
1.226773619651794434e+01,2.813999999999999773e+02,-1.169400000000000091e+03,-3.467858999999999924e+03
1.233363723754882812e+01,2.815489999999999782e+02,-1.169099999999999909e+03,-3.467376000000000204e+03
1.239969110488891602e+01,2.820000000000000000e+02,-1.168500000000000000e+03,-3.466407999999999902e+03
1.246571803092956543e+01,2.812500000000000000e+02,-1.168799999999999955e+03,-3.467617999999999938e+03
1.253188228607177734e+01,2.812500000000000000e+02,-1.170000000000000000e+03,-3.467617999999999938e+03
1.260276818275451660e+01,2.815489999999999782e+02,-1.168799999999999955e+03,-3.467617999999999938e+03
1.266866922378540039e+01,2.822989999999999782e+02,-1.169400000000000091e+03,-3.467617999999999938e+03
1.273478603363037109e+01,2.815489999999999782e+02,-1.168349999999999909e+03,-3.470038000000000011e+03
1.280067205429077148e+01,2.816999999999999886e+02,-1.170000000000000000e+03,-3.467134000000000015e+03
1.286657404899597168e+01,2.820000000000000000e+02,-1.169849999999999909e+03,-3.466648999999999887e+03
1.293748021125793457e+01,2.820000000000000000e+02,-1.169250000000000000e+03,-3.467134000000000015e+03
1.300344514846801758e+01,2.821499999999999773e+02,-1.169099999999999909e+03,-3.465923999999999978e+03
1.306973218917846680e+01,2.811000000000000227e+02,-1.169099999999999909e+03,-3.466891000000000076e+03
1.313562321662902832e+01,2.815489999999999782e+02,-1.168949000000000069e+03,-3.467134000000000015e+03
1.320597505569458008e+01,2.812500000000000000e+02,-1.168949000000000069e+03,-3.466407999999999902e+03
1.327200412750244141e+01,2.815489999999999782e+02,-1.168799999999999955e+03,-3.465923999999999978e+03
1.333806729316711426e+01,2.815489999999999782e+02,-1.169400000000000091e+03,-3.466891000000000076e+03
1.340408515930175781e+01,2.820000000000000000e+02,-1.169699000000000069e+03,-3.465923999999999978e+03
1.347002220153808594e+01,2.813999999999999773e+02,-1.169250000000000000e+03,-3.467858999999999924e+03
1.354106712341308594e+01,2.815489999999999782e+02,-1.169099999999999909e+03,-3.466648999999999887e+03
1.360697913169860840e+01,2.813999999999999773e+02,-1.169849999999999909e+03,-3.468101000000000113e+03
1.367307710647583008e+01,2.815489999999999782e+02,-1.169099999999999909e+03,-3.466891000000000076e+03
1.373910117149353027e+01,2.809499999999999886e+02,-1.168650000000000091e+03,-3.467134000000000015e+03
1.380504226684570312e+01,2.813999999999999773e+02,-1.168799999999999955e+03,-3.466407999999999902e+03
