phase,step,mark10_pos_mm,d_compression_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,Bmag_uT,note
approach,40,-4.0000,nan,0.07075,0.00400,12,-856.8699,6402.1601,1705.1786,6680.5325,
approach,41,-4.0900,nan,0.07135,0.00578,12,-856.6179,6401.3068,1704.4291,6679.4911,
approach,42,-4.1900,nan,0.07475,0.00667,12,-857.6648,6401.1718,1705.3035,6679.7193,
approach,43,-4.2900,nan,0.06470,0.00170,12,-857.5291,6401.3073,1704.5541,6679.6404,
approach,44,-4.4000,nan,0.06300,0.00941,12,-857.1413,6400.5314,1704.4915,6678.8311,
approach,45,-4.5000,nan,0.07480,0.00348,12,-856.9668,6400.7258,1705.5845,6679.2740,
approach,46,-4.5900,nan,0.07380,0.00586,12,-858.0137,6398.9612,1704.5854,6677.4623,
approach,47,-4.6900,nan,0.07390,0.00437,12,-857.3158,6398.5733,1704.0545,6676.8655,
approach,48,-4.7700,nan,0.07480,0.00675,12,-857.3352,6398.0308,1703.8984,6676.3083,
approach,49,-4.9000,nan,0.07370,0.00371,13,-857.9556,6397.2163,1704.9910,6675.8864,
approach,50,-5.0000,nan,0.07605,0.00363,12,-857.4321,6397.4492,1705.3971,6676.1460,
approach,51,-5.0900,nan,0.07215,0.00237,12,-858.7117,6395.8786,1704.0230,6674.4545,
approach,52,-5.1900,nan,0.07560,0.00430,13,-858.9081,6396.6211,1703.9380,6675.1696,
approach,53,-5.2900,nan,0.07900,0.00267,12,-857.2189,6395.7234,1703.7423,6674.0422,
approach,54,-5.4000,nan,0.08110,0.00719,12,-858.8862,6396.5961,1703.1803,6674.9494,
approach,55,-5.5000,nan,0.08070,0.00712,12,-858.6341,6393.6883,1703.3050,6672.1623,
approach,56,-5.5900,nan,0.08025,0.00437,12,-858.0331,6392.0792,1704.0545,6670.7345,
approach,57,-5.6900,nan,0.08165,0.00838,12,-858.5760,6390.9538,1704.5540,6669.8537,
approach,58,-5.7900,nan,0.08155,0.00319,12,-858.8862,6392.0205,1703.9606,6670.7641,
approach,59,-5.9000,nan,0.08695,0.00526,12,-858.3821,6390.8378,1703.8983,6669.5500,
approach,60,-6.0000,nan,0.08780,0.00860,13,-859.5259,6390.9544,1704.5540,6669.9766,
approach,61,-6.0900,nan,0.08340,0.00185,12,-858.1688,6390.5671,1702.4620,6668.8963,
approach,62,-6.1900,nan,0.08440,0.00474,13,-859.0994,6389.1316,1704.3666,6668.1272,
approach,63,-6.2900,nan,0.08510,0.00252,13,-857.7617,6389.1898,1703.0553,6667.6757,
approach,64,-6.3900,nan,0.08560,0.00741,13,-859.0606,6387.8910,1704.1168,6666.8696,
approach,65,-6.5000,nan,0.08215,0.00749,12,-858.5566,6387.5227,1704.2418,6666.4838,
approach,66,-6.5900,nan,0.09335,0.00593,12,-858.7505,6386.0688,1704.5540,6665.1955,
approach,67,-6.6900,nan,0.09385,0.00452,12,-859.3708,6384.8083,1703.0241,6663.6766,
approach,68,-6.7900,nan,0.08610,0.00274,12,-859.3902,6385.2545,1703.5548,6664.2423,
approach,69,-6.8900,nan,0.09340,0.00460,12,-859.0800,6384.3437,1703.7735,6663.3855,
approach,70,-7.0000,nan,0.08820,0.00563,13,-858.9055,6383.0250,1704.5854,6662.3072,
approach,71,-7.0900,nan,0.10075,0.00304,12,-858.8280,6382.4627,1703.7110,6661.5349,
