t_s,Bx_uT,By_uT,Bz_uT
2.985399999999999920e+01,-5.684899999999999665e+01,-2.144999999999999929e+01,-1.846459999999999866e+02
2.987099999999999866e+01,-5.775000000000000000e+01,-2.175000000000000000e+01,-1.824679999999999893e+02
2.988700000000000045e+01,-5.789999999999999858e+01,-2.069999999999999929e+01,-1.829509999999999934e+02
2.990299999999999869e+01,-5.579999999999999716e+01,-1.994999999999999929e+01,-1.829509999999999934e+02
2.992000000000000171e+01,-5.925000000000000000e+01,-2.129899999999999949e+01,-1.836769999999999925e+02
2.994000000000000128e+01,-5.625000000000000000e+01,-2.264999999999999858e+01,-1.829509999999999934e+02
2.995700000000000074e+01,-5.625000000000000000e+01,-2.069999999999999929e+01,-1.831939999999999884e+02
2.997400000000000020e+01,-5.639999999999999858e+01,-1.919999999999999929e+01,-1.831939999999999884e+02
2.998900000000000077e+01,-5.729999999999999716e+01,-2.175000000000000000e+01,-1.829509999999999934e+02
3.001099999999999923e+01,-5.670000000000000284e+01,-2.369999999999999929e+01,-1.805310000000000059e+02
3.002700000000000102e+01,-5.834899999999999665e+01,-2.025000000000000000e+01,-1.822259999999999991e+02
3.004299999999999926e+01,-5.804999999999999716e+01,-2.219999999999999929e+01,-1.846459999999999866e+02
3.005900000000000105e+01,-5.864999999999999858e+01,-1.950000000000000000e+01,-1.815000000000000000e+02
3.007600000000000051e+01,-6.014999999999999858e+01,-2.129899999999999949e+01,-1.824679999999999893e+02
3.009900000000000020e+01,-5.595000000000000284e+01,-1.935000000000000142e+01,-1.800480000000000018e+02
3.011299999999999955e+01,-5.729999999999999716e+01,-2.235000000000000142e+01,-1.802899999999999920e+02
3.012999999999999901e+01,-5.789999999999999858e+01,-2.114999999999999858e+01,-1.846459999999999866e+02
3.014600000000000080e+01,-5.834899999999999665e+01,-1.964999999999999858e+01,-1.829509999999999934e+02
3.016400000000000148e+01,-5.595000000000000284e+01,-2.039999999999999858e+01,-1.817419999999999902e+02
3.018299999999999983e+01,-5.729999999999999716e+01,-1.889999999999999858e+01,-1.819840000000000089e+02
3.019999999999999929e+01,-5.850000000000000000e+01,-2.054899999999999949e+01,-1.822259999999999991e+02
3.021699999999999875e+01,-5.834899999999999665e+01,-2.204899999999999949e+01,-1.836769999999999925e+02
3.023199999999999932e+01,-5.654999999999999716e+01,-2.069999999999999929e+01,-1.800480000000000018e+02
3.025400000000000134e+01,-5.850000000000000000e+01,-2.235000000000000142e+01,-1.841620000000000061e+02
3.026999999999999957e+01,-5.939999999999999858e+01,-2.039999999999999858e+01,-1.829509999999999934e+02
3.028699999999999903e+01,-5.654999999999999716e+01,-2.039999999999999858e+01,-1.802899999999999920e+02
3.030300000000000082e+01,-5.550000000000000000e+01,-2.010000000000000142e+01,-1.812580000000000098e+02
3.031899999999999906e+01,-5.789999999999999858e+01,-2.175000000000000000e+01,-1.800480000000000018e+02
3.034100000000000108e+01,-5.729999999999999716e+01,-2.189999999999999858e+01,-1.817419999999999902e+02
3.035600000000000165e+01,-5.775000000000000000e+01,-2.175000000000000000e+01,-1.831939999999999884e+02
3.037300000000000111e+01,-5.759899999999999665e+01,-1.964999999999999858e+01,-1.824679999999999893e+02
