t_s,Bx_uT,By_uT,Bz_uT
1.799299999999999855e+01,2.310000000000000142e+01,5.084899999999999665e+01,3.387999999999999901e+00
1.806299999999999883e+01,2.325000000000000000e+01,4.995000000000000284e+01,3.145999999999999908e+00
1.812999999999999901e+01,2.354899999999999949e+01,4.995000000000000284e+01,3.387999999999999901e+00
1.819500000000000028e+01,2.369999999999999929e+01,5.025000000000000000e+01,4.597000000000000419e+00
1.826099999999999923e+01,2.279899999999999949e+01,4.934899999999999665e+01,4.597000000000000419e+00
1.832499999999999929e+01,2.414999999999999858e+01,5.084899999999999665e+01,4.113999999999999879e+00
1.839499999999999957e+01,2.385000000000000142e+01,4.964999999999999858e+01,2.661999999999999922e+00
1.846199999999999974e+01,2.385000000000000142e+01,4.934899999999999665e+01,3.145999999999999908e+00
1.852700000000000102e+01,2.385000000000000142e+01,5.070000000000000284e+01,3.629999999999999893e+00
1.859199999999999875e+01,2.354899999999999949e+01,5.025000000000000000e+01,2.177999999999999936e+00
1.865700000000000003e+01,2.339999999999999858e+01,5.039999999999999858e+01,3.145999999999999908e+00
1.872800000000000153e+01,2.385000000000000142e+01,5.084899999999999665e+01,3.387999999999999901e+00
1.879400000000000048e+01,2.325000000000000000e+01,4.995000000000000284e+01,2.177999999999999936e+00
1.885900000000000176e+01,2.400000000000000000e+01,4.950000000000000000e+01,4.355999999999999872e+00
1.892399999999999949e+01,2.339999999999999858e+01,5.025000000000000000e+01,3.387999999999999901e+00
1.899299999999999855e+01,2.310000000000000142e+01,5.009899999999999665e+01,3.629999999999999893e+00
1.905999999999999872e+01,2.339999999999999858e+01,4.995000000000000284e+01,2.419999999999999929e+00
1.912500000000000000e+01,2.369999999999999929e+01,5.025000000000000000e+01,4.355999999999999872e+00
1.919099999999999895e+01,2.385000000000000142e+01,5.025000000000000000e+01,3.871999999999999886e+00
1.925600000000000023e+01,2.414999999999999858e+01,4.995000000000000284e+01,3.629999999999999893e+00
1.932499999999999929e+01,2.310000000000000142e+01,5.025000000000000000e+01,4.113999999999999879e+00
1.939099999999999824e+01,2.354899999999999949e+01,4.979999999999999716e+01,3.387999999999999901e+00
1.945700000000000074e+01,2.339999999999999858e+01,5.114999999999999858e+01,4.113999999999999879e+00
1.952199999999999847e+01,2.414999999999999858e+01,4.979999999999999716e+01,4.355999999999999872e+00
1.958699999999999974e+01,2.325000000000000000e+01,4.979999999999999716e+01,3.871999999999999886e+00
1.965700000000000003e+01,2.325000000000000000e+01,4.979999999999999716e+01,4.597000000000000419e+00
1.972400000000000020e+01,2.354899999999999949e+01,4.995000000000000284e+01,4.113999999999999879e+00
1.978900000000000148e+01,2.354899999999999949e+01,4.904999999999999716e+01,2.661999999999999922e+00
1.985399999999999920e+01,2.369999999999999929e+01,5.009899999999999665e+01,2.903999999999999915e+00
1.992399999999999949e+01,2.354899999999999949e+01,5.070000000000000284e+01,3.871999999999999886e+00
1.998900000000000077e+01,2.385000000000000142e+01,5.070000000000000284e+01,3.629999999999999893e+00
2.005600000000000094e+01,2.325000000000000000e+01,5.009899999999999665e+01,3.145999999999999908e+00
2.012099999999999866e+01,2.325000000000000000e+01,5.070000000000000284e+01,4.113999999999999879e+00
