t_s,Bx_uT,By_uT,Bz_uT
4.627700000000000102e+01,2.948999999999999773e+02,4.349999999999999645e+00,4.796440000000000055e+02
4.628399999999999892e+01,3.053999999999999773e+02,-5.999999999999999778e-01,4.905339999999999918e+02
4.629200000000000159e+01,3.036000000000000227e+02,4.198999999999999844e+00,4.907760000000000105e+02
4.630199999999999960e+01,2.972989999999999782e+02,3.599000000000000199e+00,4.786759999999999877e+02
4.630899999999999750e+01,3.082500000000000000e+02,1.048999999999999932e+00,4.735939999999999941e+02
4.632399999999999807e+01,3.025489999999999782e+02,2.250000000000000000e+00,4.931949999999999932e+02
4.633200000000000074e+01,3.001499999999999773e+02,-1.200000000000000000e+01,5.069900000000000091e+02
4.634100000000000108e+01,3.036000000000000227e+02,3.899999999999999911e+00,4.946469999999999914e+02
4.634799999999999898e+01,2.993999999999999773e+02,8.398999999999999133e+00,4.772239999999999895e+02
4.635699999999999932e+01,3.047989999999999782e+02,-3.750000000000000000e+00,4.699639999999999986e+02
4.636999999999999744e+01,2.903999999999999773e+02,6.150000000000000355e+00,4.825480000000000018e+02
4.637800000000000011e+01,2.974499999999999886e+02,3.149999999999999911e+00,4.871460000000000150e+02
4.638700000000000045e+01,2.914499999999999886e+02,5.549999999999999822e+00,4.919859999999999900e+02
4.639500000000000313e+01,3.051000000000000227e+02,-4.948999999999999844e+00,4.919859999999999900e+02
4.640899999999999892e+01,2.942989999999999782e+02,1.289899999999999913e+01,4.968260000000000218e+02
4.641700000000000159e+01,3.019499999999999886e+02,-4.490000000000000102e-01,4.733519999999999754e+02
4.642499999999999716e+01,3.047989999999999782e+02,4.490000000000000102e-01,4.931949999999999932e+02
4.643399999999999750e+01,2.983500000000000227e+02,-1.350000000000000089e+00,4.762559999999999718e+02
4.644299999999999784e+01,2.980489999999999782e+02,1.064899999999999913e+01,4.665760000000000218e+02
4.645600000000000307e+01,2.901000000000000227e+02,1.949999999999999956e+00,4.794019999999999868e+02
4.646399999999999864e+01,2.961000000000000227e+02,1.798999999999999932e+00,4.791600000000000250e+02
4.647200000000000131e+01,2.978999999999999773e+02,1.949999999999999956e+00,4.876299999999999955e+02
4.648100000000000165e+01,2.956499999999999773e+02,1.199999999999999956e+00,4.774649999999999750e+02
4.649099999999999966e+01,3.036000000000000227e+02,8.990000000000000213e-01,4.961000000000000227e+02
4.650300000000000011e+01,3.040489999999999782e+02,6.150000000000000355e+00,4.946469999999999914e+02
4.651100000000000279e+01,2.936999999999999886e+02,8.550000000000000711e+00,4.919859999999999900e+02
4.651899999999999835e+01,2.890489999999999782e+02,2.999999999999999889e-01,4.973100000000000023e+02
4.652900000000000347e+01,2.959499999999999886e+02,-4.500000000000000000e+00,4.915009999999999764e+02
4.654200000000000159e+01,2.992500000000000000e+02,2.399999999999999911e+00,4.849680000000000177e+02
4.654999999999999716e+01,2.942989999999999782e+02,-5.698999999999999844e+00,4.760140000000000100e+02
