Bx_uT,By_uT,Bz_uT
2.302800000000000182e+03,3.896099999999999909e+03,6.229079999999999927e+03
2.302199999999999818e+03,3.896550000000000182e+03,6.236582999999999629e+03
2.302500000000000000e+03,3.896550000000000182e+03,6.241663999999999760e+03
2.302199999999999818e+03,3.897300000000000182e+03,6.243841999999999643e+03
2.302500000000000000e+03,3.896099999999999909e+03,6.236341000000000349e+03
2.302199999999999818e+03,3.896849999999999909e+03,6.238277000000000044e+03
2.302500000000000000e+03,3.896849999999999909e+03,6.235855999999999767e+03
2.301000000000000000e+03,3.896550000000000182e+03,6.247470999999999549e+03
2.301898999999999887e+03,3.896849999999999909e+03,6.236341000000000349e+03
2.302349999999999909e+03,3.896699999999999818e+03,6.245778000000000247e+03
2.301898999999999887e+03,3.896099999999999909e+03,6.245778000000000247e+03
2.303550000000000182e+03,3.896099999999999909e+03,6.240210000000000036e+03
2.302349999999999909e+03,3.897000000000000000e+03,6.241422999999999774e+03
2.302800000000000182e+03,3.896849999999999909e+03,6.239487000000000080e+03
2.301750000000000000e+03,3.895800000000000182e+03,6.243841999999999643e+03
2.302500000000000000e+03,3.897300000000000182e+03,6.252554000000000087e+03
2.302500000000000000e+03,3.895949999999999818e+03,6.251586000000000240e+03
2.301898999999999887e+03,3.896250000000000000e+03,6.241177999999999884e+03
2.301898999999999887e+03,3.897148999999999887e+03,6.242390999999999622e+03
2.302199999999999818e+03,3.897449999999999818e+03,6.251344000000000051e+03
2.302349999999999909e+03,3.896099999999999909e+03,6.227868999999999687e+03
2.301750000000000000e+03,3.895949999999999818e+03,6.236341000000000349e+03
2.302050000000000182e+03,3.896398999999999887e+03,6.233436999999999898e+03
2.302199999999999818e+03,3.896550000000000182e+03,6.239002000000000407e+03
2.302050000000000182e+03,3.895949999999999818e+03,6.237548999999999978e+03
2.302349999999999909e+03,3.896849999999999909e+03,6.246988999999999578e+03
2.301898999999999887e+03,3.896550000000000182e+03,6.246020999999999731e+03
2.301898999999999887e+03,3.897300000000000182e+03,6.250375000000000000e+03
2.301898999999999887e+03,3.897148999999999887e+03,6.238032000000000153e+03
2.301599999999999909e+03,3.896849999999999909e+03,6.240453000000000429e+03
2.302050000000000182e+03,3.896699999999999818e+03,6.245295000000000073e+03
2.303398999999999887e+03,3.897449999999999818e+03,6.243117000000000189e+03
2.301148999999999887e+03,3.896849999999999909e+03,6.244569999999999709e+03
2.302199999999999818e+03,3.895949999999999818e+03,6.240935999999999694e+03
2.302199999999999818e+03,3.897148999999999887e+03,6.257152000000000044e+03
2.301750000000000000e+03,3.897449999999999818e+03,6.246503999999999905e+03
2.302800000000000182e+03,3.896849999999999909e+03,6.236341000000000349e+03
2.301750000000000000e+03,3.897300000000000182e+03,6.246503999999999905e+03
2.301599999999999909e+03,3.898500000000000000e+03,6.246262999999999920e+03
2.302800000000000182e+03,3.896699999999999818e+03,6.254972999999999956e+03
2.302500000000000000e+03,3.897000000000000000e+03,6.237548999999999978e+03
2.301599999999999909e+03,3.897300000000000182e+03,6.254734999999999673e+03
2.301750000000000000e+03,3.897449999999999818e+03,6.244813000000000102e+03
2.302199999999999818e+03,3.897750000000000000e+03,6.231257999999999811e+03
2.302949999999999818e+03,3.896849999999999909e+03,6.247953999999999724e+03
2.301599999999999909e+03,3.896398999999999887e+03,6.238277000000000044e+03
2.301750000000000000e+03,3.897148999999999887e+03,6.231984000000000378e+03
2.301750000000000000e+03,3.896849999999999909e+03,6.247470999999999549e+03
2.301750000000000000e+03,3.896849999999999909e+03,6.250858000000000175e+03
2.301599999999999909e+03,3.897300000000000182e+03,6.241663999999999760e+03
2.301449999999999818e+03,3.896250000000000000e+03,6.237548999999999978e+03
2.302050000000000182e+03,3.897449999999999818e+03,6.243841999999999643e+03
2.302349999999999909e+03,3.897599999999999909e+03,6.246020999999999731e+03
2.301750000000000000e+03,3.897300000000000182e+03,6.244569999999999709e+03
