time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780411728.006850,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.078000,2.20000,2.078000,-0.122000,nan,4.1000,4.1000,,-7.8500,2.3877,-3333.7460,10142.4740,8413.8560,-3333.7460,10142.4740,8413.8560,-1859.2636,4748.2158,4474.2219,13593.2562,,,
1780411728.094609,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.077800,2.20000,2.077800,-0.122200,nan,4.1000,4.1000,,-7.8500,2.4757,-3332.5440,10138.2660,8404.1760,-3332.5440,10138.2660,8404.1760,-1858.0616,4744.0078,4464.5419,13583.8309,,,
1780411728.183859,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.077100,2.20000,2.077100,-0.122900,nan,4.1000,4.1000,,-7.8500,2.5640,-3330.7400,10138.8690,8412.8900,-3330.7400,10138.8690,8412.8900,-1856.2576,4744.6108,4473.2559,13589.2315,,,
1780411728.271414,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.076600,2.20000,2.076600,-0.123400,nan,4.1000,4.1000,,-7.8500,2.6531,-3330.7400,10137.6640,8409.0180,-3330.7400,10137.6640,8409.0180,-1856.2576,4743.4058,4469.3839,13585.9355,,,
1780411728.359620,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.077200,2.20000,2.077200,-0.122800,nan,4.1000,4.1000,,-7.8500,2.7403,-3328.3370,10147.2800,8417.7280,-3328.3370,10147.2800,8417.7280,-1853.8546,4753.0218,4478.0939,13597.9139,,,
1780411728.447551,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.077700,2.20000,2.077700,-0.122300,nan,4.1000,4.1000,,-7.8500,2.8284,-3334.3470,10140.6710,8411.9200,-3334.3470,10140.6710,8411.9200,-1859.8646,4746.4128,4472.2859,13590.8600,,,
1780411728.535956,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.078100,2.20000,2.078100,-0.121900,nan,4.1000,4.1000,,-7.8500,2.9164,-3334.3470,10140.0640,8407.0770,-3334.3470,10140.0640,8407.0770,-1859.8646,4745.8058,4467.4429,13587.4100,,,
1780411728.624176,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.076600,2.20000,2.076600,-0.123400,nan,4.1000,4.1000,,-7.8500,3.0048,-3332.5440,10141.2690,8413.8560,-3332.5440,10141.2690,8413.8560,-1858.0616,4747.0108,4474.2219,13592.0624,,,
1780411728.712155,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.075900,2.20000,2.075900,-0.124100,nan,4.1000,4.1000,,-7.8500,3.0927,-3332.5440,10139.4710,8411.9200,-3332.5440,10139.4710,8411.9200,-1858.0616,4745.2128,4472.2859,13589.5224,,,
1780411728.800822,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.077000,2.20000,2.077000,-0.123000,nan,4.1000,4.1000,,-7.8500,3.1810,-3337.3510,10145.4770,8417.7280,-3337.3510,10145.4770,8417.7280,-1862.8686,4751.2188,4478.0939,13598.7779,,,
1780411728.888578,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.076500,2.20000,2.076500,-0.123500,nan,4.1000,4.1000,,-7.8500,3.2699,-3328.9370,10141.2690,8404.1760,-3328.9370,10141.2690,8404.1760,-1854.4546,4747.0108,4464.5419,13585.1880,,,
1780411728.976723,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.076100,2.20000,2.076100,-0.123900,nan,4.1000,4.1000,,-7.8500,3.3575,-3327.7350,10143.6740,8416.7620,-3327.7350,10143.6740,8416.7620,-1853.2526,4749.4158,4477.1279,13594.4777,,,
1780411729.064652,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.074600,2.20000,2.074600,-0.125400,nan,4.1000,4.1000,,-7.8500,3.4455,-3333.1440,10141.8720,8415.7910,-3333.1440,10141.8720,8415.7910,-1858.6616,4747.6138,4476.1569,13593.8572,,,
1780411729.152859,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.074200,2.20000,2.074200,-0.125800,nan,4.1000,4.1000,,-7.8500,3.5337,-3333.7460,10148.4800,8414.8260,-3333.7460,10148.4800,8414.8260,-1859.2636,4754.2218,4475.1919,13598.3383,,,
1780411729.240732,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.074100,2.20000,2.074100,-0.125900,nan,4.1000,4.1000,,-7.8500,3.6217,-3330.7400,10146.6820,8409.9840,-3330.7400,10146.6820,8409.9840,-1856.2576,4752.4238,4470.3499,13593.2636,,,
