model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
bayesian_ridge,session_20260624_155402,1,2.35,-1.12995,-0.05733334392597911,1.072616656074021,-0.020000000000000018,-0.017544778352914125,0.0024552216470858923
bayesian_ridge,session_20260624_155402,2,1.85,-0.8915499999999998,-0.7945234531399272,0.09702654686007262,-0.020000000000000018,-0.01507245785564515,0.004927542144354868
bayesian_ridge,session_20260624_155402,2,1.95,-0.9425999999999999,-0.6665128504243345,0.2760871495756654,0.0,-0.0021889813260598245,0.0021889813260598245
bayesian_ridge,session_20260624_155402,2,2.05,-1.0619,-0.8737544214766961,0.18814557852330394,0.0,-0.015557074846717756,0.015557074846717756
bayesian_ridge,session_20260624_155402,2,2.15,-1.0040499999999999,-1.2786739003824827,0.27462390038248286,0.0,0.012879185202103294,0.012879185202103294
bayesian_ridge,session_20260624_155402,2,2.25,-1.0927000000000002,-0.7805194045020523,0.31218059549794797,0.0,0.028729074697070978,0.028729074697070978
bayesian_ridge,session_20260624_155402,2,2.35,-1.1362499999999995,-0.07816535903789301,1.0580846409621065,-0.020000000000000018,-0.01687214113756008,0.003127858862439936
bayesian_ridge,session_20260624_155402,3,1.85,-0.8896999999999999,-0.7825379304488074,0.10716206955119256,-0.020000000000000018,-0.015426717845222093,0.0045732821547779245
bayesian_ridge,session_20260624_155402,3,1.95,-0.9342999999999999,-0.6581973501041567,0.2761026498958432,0.0,-0.0024095383625717393,0.0024095383625717393
bayesian_ridge,session_20260624_155402,3,2.05,-1.05545,-0.8690597149522308,0.18639028504776922,0.0,-0.016035417255688467,0.016035417255688467
bayesian_ridge,session_20260624_155402,3,2.15,-0.9927000000000001,-1.2601381522716855,0.2674381522716853,0.020000000000000018,0.013880964188422773,0.006119035811577245
bayesian_ridge,session_20260624_155402,3,2.25,-1.0806499999999999,-0.8042681593723113,0.27638184062768856,0.0,0.03189558527801584,0.03189558527801584
bayesian_ridge,session_20260624_155402,3,2.35,-1.1265,-0.07138187030020937,1.0551181296997907,-0.040000000000000036,-0.015896622263555038,0.024103377736444997
bayesian_ridge,session_20260624_164026,1,1.85,-0.93295,-0.7577019312620612,0.17524806873793874,-0.020000000000000018,-0.0017646431886955138,0.018235356811304504
bayesian_ridge,session_20260624_164026,1,1.95,-0.9843999999999999,-1.1610317089433302,0.17663170894333025,0.0,-0.008826403261628535,0.008826403261628535
bayesian_ridge,session_20260624_164026,1,2.05,-1.1031,-0.9278990598465002,0.17520094015349974,-0.020000000000000018,0.008992745811372327,0.028992745811372345
bayesian_ridge,session_20260624_164026,1,2.15,-1.0322,-0.9802950145162157,0.051904985483784305,0.0,0.00742560451498786,0.00742560451498786
bayesian_ridge,session_20260624_164026,1,2.25,-1.12365,-1.216118404899901,0.09246840489990094,0.0,-0.009127613149714886,0.009127613149714886
bayesian_ridge,session_20260624_164026,1,2.35,-1.1633,-1.0503173642950685,0.1129826357049315,-0.040000000000000036,-0.018824959227016436,0.0211750407729836
bayesian_ridge,session_20260624_164026,2,1.85,-0.9151,-0.7251793444011998,0.18992065559880023,-0.020000000000000018,0.0020046453214395132,0.02200464532143953
bayesian_ridge,session_20260624_164026,2,1.95,-0.9670000000000001,-1.1862089387578765,0.2192089387578764,0.0,-0.005989800270332024,0.005989800270332024
bayesian_ridge,session_20260624_164026,2,2.05,-1.0859,-0.894186897030897,0.19171310296910304,-0.020000000000000018,0.007833752666141613,0.02783375266614163
bayesian_ridge,session_20260624_164026,2,2.15,-1.0180499999999997,-0.9737138021228962,0.04433619787710352,0.0,0.009737231624641574,0.009737231624641574
bayesian_ridge,session_20260624_164026,2,2.25,-1.1146499999999997,-1.2262436282475742,0.11159362824757446,-0.020000000000000018,-0.008691254529431092,0.011308745470568926
bayesian_ridge,session_20260624_164026,2,2.35,-1.1631999999999998,-1.0509587605270987,0.1122412394729011,-0.040000000000000036,-0.020176707369531144,0.01982329263046889
bayesian_ridge,session_20260624_164026,3,1.85,-0.9193999999999998,-0.7278184655040905,0.1915815344959093,-0.020000000000000018,-0.0014138444386542215,0.018586155561345796
bayesian_ridge,session_20260624_164026,3,1.95,-0.964,-1.1963640718862205,0.23236407188622055,0.0,-0.007403989932587285,0.007403989932587285
bayesian_ridge,session_20260624_164026,3,2.05,-1.0873999999999997,-0.8839204476941642,0.20347955230583548,-0.020000000000000018,0.005495338861774002,0.02549533886177402
bayesian_ridge,session_20260624_164026,3,2.15,-1.0159500000000001,-0.9843690844759703,0.03158091552402986,0.0,0.010189764623160347,0.010189764623160347
bayesian_ridge,session_20260624_164026,3,2.25,-1.1113500000000003,-1.230607678414657,0.11925767841465662,-0.020000000000000018,-0.009135347996986454,0.010864652003013564
bayesian_ridge,session_20260624_164026,3,2.35,-1.1611500000000001,-1.0519633161305384,0.10918668386946173,-0.040000000000000036,-0.02091233764126299,0.019087662358737045
elastic_net_cv,session_20260615_160438,1,3.05,-2.1603000000000003,-1.7241774464802608,0.4361225535197395,-0.020000000000000018,0.030994048743770986,0.050994048743771
elastic_net_cv,session_20260615_160438,1,3.15,-2.2179,-2.1362262327000696,0.08167376729993059,0.0,0.06939810841628535,0.06939810841628535
elastic_net_cv,session_20260615_160438,1,3.25,-2.4623,-2.4088815729464557,0.05341842705354427,-0.020000000000000018,0.039564636923959284,0.0595646369239593
elastic_net_cv,session_20260615_160438,1,3.35,-2.3344999999999994,-2.2403138545393206,0.09418614546067872,0.0,0.047001551335712044,0.047001551335712044
elastic_net_cv,session_20260615_160438,1,3.45,-2.5323,-2.4461845236295687,0.08611547637043149,-0.020000000000000018,0.015014027098166682,0.0350140270981667
elastic_net_cv,session_20260615_160438,1,3.55,-2.0322999999999993,-1.944866152652537,0.08743384734746229,0.0,0.023598195670894384,0.023598195670894384
elastic_net_cv,session_20260615_160438,2,3.05,-2.3884,-2.4611997853417114,0.0727997853417115,-0.020000000000000018,0.019257631167726164,0.03925763116772618
elastic_net_cv,session_20260615_160438,2,3.15,-2.8383000000000003,-2.8673090550290876,0.02900905502908735,-0.040000000000000036,-0.015034745547548578,0.024965254452451457
elastic_net_cv,session_20260615_160438,2,3.25,-2.798,-2.7610860498916017,0.036913950108398375,-0.010000000000000231,0.014347654741757587,0.024347654741757818
elastic_net_cv,session_20260615_160438,2,3.35,-2.6327,-2.542790745481514,0.08990925451848586,0.0,0.03129207682145152,0.03129207682145152
elastic_net_cv,session_20260615_160438,2,3.45,-2.8407999999999998,-2.738570151877882,0.10222984812211777,-0.020000000000000018,0.007396047705102937,0.027396047705102955
elastic_net_cv,session_20260615_160438,2,3.55,-2.261700000000001,-2.1605699171357937,0.10113008286420744,0.0,0.018741693457780872,0.018741693457780872
elastic_net_cv,session_20260615_160438,3,3.05,-2.4448,-2.5243916841940353,0.0795916841940354,-0.029999999999999805,0.01423764930365623,0.044237649303656035
