work_zone,model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
3.0-3.8 mm,apmd_path_memory_ridge,session_20260618_161152,2,3.55,-3.1265,-1.053909909607908,2.072590090392092,-0.040000000000000036,-0.002076306830320007,0.03792369316968003
3.0-3.8 mm,apmd_path_memory_ridge,session_20260618_161152,3,3.05,-2.6947,-1.4762954638500112,1.218404536149989,-0.020000000000000018,0.021231014697765005,0.04123101469776502
3.0-3.8 mm,apmd_path_memory_ridge,session_20260618_161152,3,3.15,-2.7441000000000004,-0.938357020129434,1.8057429798705664,0.020000000000000018,0.05878981992110521,0.038789819921105195
3.0-3.8 mm,apmd_path_memory_ridge,session_20260618_161152,3,3.25,-2.5755999999999997,-0.3401216968983718,2.235478303101628,0.040000000000000036,0.09118666319355029,0.05118666319355025
3.0-3.8 mm,apmd_path_memory_ridge,session_20260618_161152,3,3.35,-2.8724000000000007,-0.48209422509358824,2.3903057749064125,0.020000000000000018,0.06453496716065965,0.04453496716065963
3.0-3.8 mm,apmd_path_memory_ridge,session_20260618_161152,3,3.45,-3.1067,-0.7218407233344042,2.384859276665596,0.0,0.03469110190106628,0.03469110190106628
3.0-3.8 mm,apmd_path_memory_ridge,session_20260618_161152,3,3.55,-2.3354,-0.4276436871542426,1.9077563128457573,0.020000000000000018,0.04934589094083597,0.02934589094083595
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,1,3.05,-2.1603000000000003,-0.2014529355148671,1.9588470644851332,-0.020000000000000018,0.03694247538420736,0.05694247538420738
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,1,3.15,-2.2179,-0.21464285574144348,2.0032571442585567,0.0,0.06670765776570775,0.06670765776570775
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,1,3.25,-2.4623,-0.6446726742741706,1.8176273257258293,-0.020000000000000018,0.03654784559484403,0.05654784559484405
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,1,3.35,-2.3344999999999994,-0.7465836761607321,1.5879163238392673,0.0,0.05360292950678369,0.05360292950678369
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,1,3.45,-2.5323,-1.1966369699515251,1.335663030048475,-0.020000000000000018,0.017070020402132347,0.037070020402132364
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,1,3.55,-2.0322999999999993,-1.2298183169976227,0.8024816830023767,0.0,0.030178361010157584,0.030178361010157584
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,2,3.05,-2.3884,-0.6783696651738653,1.7100303348261345,-0.020000000000000018,0.0319865474206642,0.05198654742066422
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,2,3.15,-2.8383000000000003,-0.9384709868054966,1.8998290131945037,-0.040000000000000036,0.008681267689428118,0.048681267689428154
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,2,3.25,-2.798,-1.0733788600267244,1.7246211399732756,-0.010000000000000231,0.028364912383314067,0.0383649123833143
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,2,3.35,-2.6327,-1.0611381288713506,1.5715618711286492,0.0,0.04546050400344592,0.04546050400344592
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,2,3.45,-2.8407999999999998,-1.2939852806823797,1.54681471931762,-0.020000000000000018,0.0179219325414266,0.03792193254142662
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,2,3.55,-2.261700000000001,-1.2980350018815727,0.9636649981184284,0.0,0.02832036149276007,0.02832036149276007
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,3,3.05,-2.4448,-0.7678626107752509,1.676937389224749,-0.029999999999999805,0.030685666203584816,0.06068566620358462
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,3,3.15,-2.553699999999999,-0.7631596256844704,1.7905403743155288,0.0,0.05931125034924811,0.05931125034924811
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,3,3.25,-2.8796999999999997,-1.150428022910157,1.7292719770898426,-0.020000000000000018,0.026041734511697,0.04604173451169702
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,3,3.35,-2.6889000000000003,-1.0577197439903863,1.631180256009614,0.0,0.04679027434715044,0.04679027434715044
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,3,3.45,-2.9232499999999995,-1.3407151202596932,1.5825348797403063,-0.020000000000000018,0.01798928290158175,0.03798928290158177
3.0-3.8 mm,lim_style_branch_ridge,session_20260615_160438,3,3.55,-3.0694,-1.7292221931577885,1.3401778068422114,-0.04999999999999982,-0.01581016719612327,0.03418983280387655
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,1,3.05,-2.5864000000000003,-0.9361625525697708,1.6502374474302295,-0.020000000000000018,0.02844018738122367,0.04844018738122369
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,1,3.15,-2.6544999999999996,-0.8025834933931382,1.8519165066068615,0.020000000000000018,0.057573192268545625,0.03757319226854561
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,1,3.25,-2.4861000000000004,-0.5767739943451442,1.9093260056548562,0.040000000000000036,0.08294003684064544,0.0429400368406454
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,1,3.35,-2.763,-0.9364859722728109,1.826514027727189,0.020000000000000018,0.05317435223068179,0.03317435223068177
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,1,3.45,-3.0108999999999995,-1.2248671574912162,1.7860328425087832,-0.020000000000000018,0.023810188868301108,0.043810188868301125
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,1,3.55,-2.3241999999999994,-1.2311841548850744,1.093015845114925,0.020000000000000018,0.03489516044489527,0.01489516044489525
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,2,3.05,-2.5469999999999997,-0.9885648832466263,1.5584351167533734,-0.020000000000000018,0.026274158365041433,0.04627415836504145
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,2,3.15,-2.631500000000001,-0.8123637100377064,1.8191362899622945,0.0,0.055817824984766506,0.055817824984766506
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,2,3.25,-2.931000000000001,-1.0095258279240298,1.9214741720759712,-0.020000000000000018,0.029235709187016568,0.049235709187016585
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,2,3.35,-2.7254000000000005,-0.8047085020005937,1.9206914979994067,0.0,0.05326572333001378,0.05326572333001378
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,2,3.45,-2.9907999999999983,-1.2416574726980656,1.7491425273019328,0.0,0.022319339067392363,0.022319339067392363
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,2,3.55,-3.1265,-1.7013436284703918,1.4251563715296083,-0.040000000000000036,-0.012305400293382895,0.02769459970661714
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,3,3.05,-2.6947,-0.8748003522303929,1.8198996477696072,-0.020000000000000018,0.028308179899089847,0.048308179899089865
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,3,3.15,-2.7441000000000004,-0.6884574492854139,2.0556425507145866,0.020000000000000018,0.058721999697326055,0.03872199969732604
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,3,3.25,-2.5755999999999997,-0.43998405764961745,2.135615942350382,0.040000000000000036,0.08322493197872705,0.04322493197872701
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,3,3.35,-2.8724000000000007,-0.7807912377126804,2.0916087622873203,0.020000000000000018,0.05486543753345208,0.03486543753345206
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,3,3.45,-3.1067,-1.2054296782241813,1.9012703217758187,0.0,0.02429136985367064,0.02429136985367064
3.0-3.8 mm,lim_style_branch_ridge,session_20260618_161152,3,3.55,-2.3354,-1.2061546993670884,1.1292453006329115,0.020000000000000018,0.03388752362293168,0.013887523622931663
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,1,3.05,-2.1603000000000003,1.8334402611592182,3.9937402611592185,-0.020000000000000018,0.08090581343878256,0.10090581343878258
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,1,3.15,-2.2179,1.8750481010549507,4.092948101054951,0.0,0.11212845246269598,0.11212845246269598
3.0-3.8 mm,plain_magnetic_ridge,session_20260615_160438,1,3.25,-2.4623,1.50184794162878,3.96414794162878,-0.020000000000000018,0.08244574188078557,0.10244574188078559
