model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,1,2.35,-1.12995,-0.9631599957798578,0.16679000422014223,-0.020000000000000018,0.020853807588455453,0.04085380758845547
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,2,1.85,-0.8915499999999998,-0.8809354838993739,0.010614516100625915,-0.020000000000000018,0.03950812798208814,0.059508127982088155
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,2,1.95,-0.9425999999999999,-0.8970654279081351,0.04553457209186473,0.0,-0.003450845217904508,0.003450845217904508
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,2,2.05,-1.0619,-0.9400807696420141,0.12181923035798592,0.0,0.04752436214609945,0.04752436214609945
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,2,2.15,-1.0040499999999999,-1.0413473321015685,0.0372973321015686,0.0,0.02705273234282135,0.02705273234282135
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,2,2.25,-1.0927000000000002,-0.9570557696866642,0.13564423031333606,0.0,0.03491830703377463,0.03491830703377463
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,2,2.35,-1.1362499999999995,-0.9713353425796907,0.16491465742030886,-0.020000000000000018,0.019554283993143073,0.03955428399314309
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,3,1.85,-0.8896999999999999,-0.8815399023920572,0.008160097607942784,-0.020000000000000018,0.040205411370234145,0.06020541137023416
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,3,1.95,-0.9342999999999999,-0.9011847237152759,0.03311527628472399,0.0,-0.002653281832037946,0.002653281832037946
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,3,2.05,-1.05545,-0.9477377891481771,0.10771221085182292,0.0,0.04802970708127807,0.04802970708127807
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,3,2.15,-0.9927000000000001,-1.0679649073111612,0.07526490731116109,0.020000000000000018,0.014565328526076282,0.005434671473923736
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,3,2.25,-1.0806499999999999,-0.9532980670946376,0.1273519329053623,0.0,0.0341946536367459,0.0341946536367459
apmd_local_identifiability_dot_dual_mlp,session_20260624_155402,3,2.35,-1.1265,-0.9371350958278768,0.18936490417212326,-0.040000000000000036,0.02397901984411588,0.06397901984411591
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,1,1.85,-0.93295,-0.9998586205578972,0.06690862055789726,-0.020000000000000018,0.057150664347142444,0.07715066434714246
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,1,1.95,-0.9843999999999999,-1.0674763164161236,0.08307631641612367,0.0,0.040337932984637614,0.040337932984637614
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,1,2.05,-1.1031,-0.9598062324618102,0.1432937675381898,-0.020000000000000018,0.04015765992373721,0.06015765992373723
apmd_local_identifiability_dot_dual_mlp,session_20260624_164026,1,2.15,-1.0322,-1.0332254473665463,0.001025447366546306,0.0,0.032527671954137194,0.032527671954137194
