model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
apmd_local_identifiability_dot_ridge,session_20260623_201622,1,3.85,-2.1869999999999976,-2.2566321548590764,0.06963215485907881,-0.040000000000000036,-0.02957182378960077,0.010428176210399265
apmd_local_identifiability_dot_ridge,session_20260623_201622,1,3.95,-0.30049999999999955,-0.5249652832545735,0.22446528325457393,0.0,-0.006754453835060126,0.006754453835060126
apmd_local_identifiability_dot_ridge,session_20260623_201622,2,3.45,-3.0741999999999994,-3.117737020777243,0.04353702077724364,0.0,-0.013958321474192292,0.013958321474192292
apmd_local_identifiability_dot_ridge,session_20260623_201622,2,3.55,-3.4613000000000014,-3.445939297225893,0.015360702774108503,-0.020000000000000018,-0.02992553490990879,0.009925534909908773
apmd_local_identifiability_dot_ridge,session_20260623_201622,2,3.65,-2.556800000000001,-2.557866763615614,0.0010667636156131977,0.0,0.0023947767490772875,0.0023947767490772875
apmd_local_identifiability_dot_ridge,session_20260623_201622,2,3.75,-2.4830000000000005,-2.5074080538005745,0.02440805380057398,-0.020000000000000018,-0.019259370719877822,0.0007406292801221959
apmd_local_identifiability_dot_ridge,session_20260623_201622,2,3.85,-2.176000000000002,-2.2476932876030062,0.07169328760300431,-0.040000000000000036,-0.02941251025099323,0.010587489749006807
apmd_local_identifiability_dot_ridge,session_20260623_201622,2,3.95,-0.2873999999999981,-0.5171236016208667,0.22972360162086858,0.0,-0.006373747805282104,0.006373747805282104
apmd_local_identifiability_dot_ridge,session_20260623_201622,3,3.45,-3.0275999999999996,-3.072541644275047,0.04494164427504721,0.0,-0.011473022886632656,0.011473022886632656
apmd_local_identifiability_dot_ridge,session_20260623_201622,3,3.55,-3.42295,-3.4135861629366797,0.009363837063320446,-0.020000000000000018,-0.029223239627234943,0.009223239627234925
apmd_local_identifiability_dot_ridge,session_20260623_201622,3,3.65,-2.5342000000000002,-2.5374302507332054,0.0032302507332051533,0.0,0.0019687308374205514,0.0019687308374205514
apmd_local_identifiability_dot_ridge,session_20260623_201622,3,3.75,-2.469199999999999,-2.493441203114129,0.024241203114129917,-0.020000000000000018,-0.019952315578957602,4.768442104241544e-05
apmd_local_identifiability_dot_ridge,session_20260623_201622,3,3.85,-2.1484999999999985,-2.223168203360977,0.07466820336097868,-0.040000000000000036,-0.02898348840259457,0.011016511597405465
apmd_local_identifiability_dot_ridge,session_20260623_201622,3,3.95,-0.28855000000000075,-0.516309188607373,0.2277591886073722,0.0,-0.005834597318473911,0.005834597318473911
apmd_local_identifiability_dot_ridge,session_20260623_204724,1,3.45,-3.3783499999999993,-3.4351060929233572,0.056756092923357926,-0.020000000000000018,-0.030839054760105178,0.01083905476010516
apmd_local_identifiability_dot_ridge,session_20260623_204724,1,3.55,-2.9208,-2.9229296662842295,0.0021296662842296143,0.0,-0.0011711792027049306,0.0011711792027049306
apmd_local_identifiability_dot_ridge,session_20260623_204724,1,3.65,-2.984,-2.9888514149484386,0.004851414948438659,-0.020000000000000018,-0.01609384417874793,0.0039061558212520886
apmd_local_identifiability_dot_ridge,session_20260623_204724,1,3.75,-1.4928999999999988,-1.601557041133816,0.10865704113381724,0.019999999999999574,0.010311847376117456,0.009688152623882118
apmd_local_identifiability_dot_ridge,session_20260623_204724,1,3.85,-0.6913499999999999,-0.9187009653916576,0.22735096539165767,0.020000000000000018,-0.012549455195748127,0.032549455195748145
apmd_local_identifiability_dot_ridge,session_20260623_204724,1,3.95,-0.2572499999999991,-0.49105633342460564,0.23380633342460655,0.0,-0.005537683971709839,0.005537683971709839
apmd_local_identifiability_dot_ridge,session_20260623_204724,2,3.45,-3.094199999999999,-3.154033881695149,0.059833881695150026,-0.009999999999999787,-0.018168586187602198,0.008168586187602411
apmd_local_identifiability_dot_ridge,session_20260623_204724,2,3.55,-2.5904500000000006,-2.592653448628555,0.002203448628554483,0.020000000000000018,0.019588145810291113,0.00041185418970890453
