rank,same_d_target_d_mm,same_d_state_F_mid_N,same_F_target_F_N,same_F_state_d_mid_mm,d_distance_mm,F_distance_N,jF_x_uT_per_N,jF_y_uT_per_N,jF_z_uT_per_N,jF_norm_uT_per_N,jd_x_uT_per_mm,jd_y_uT_per_mm,jd_z_uT_per_mm,jd_norm_uT_per_mm,angle_deg,abs_cosine,condition_scaled,condition_raw,same_d_noise_ratio,same_F_noise_ratio,min_noise_ratio,directional_consistency_mean,locality_distance,locality_score,identifiability_score,verdict
11,2.8,3.33985,4.9,2.915,0.125,1.5601500000000001,0.8606616067592725,139.42718029500213,49.90405269941286,148.09150488546652,54.63181818181818,1868.5545454545454,2305.609090909091,2968.217310942603,31.289714863158274,0.8545520749824149,3.570801852059008,38.661752658397,10.34123,32.64685,10.34123,0.9995751651111351,1.298212060800609,0.43055626043018314,0.1547307601962695,exploratory
12,2.4,1.9677,2.5,2.1100000000000003,0.27999999999999936,0.5323,-2.779833487511563,141.77150786308974,31.341350601295094,145.22110099260956,42.92857142857142,1699.9785714285713,1424.342857142857,2218.2250968409635,27.579061204725935,0.8863728320110372,4.074484548642841,33.104139860552415,6.27936,31.1406,6.27936,0.9993156532028056,0.90627794058997,0.6632058510156603,0.12752736627850905,exploratory
13,2.6,2.562525,4.3,2.795,0.20500000000000007,1.7374749999999999,1.1644832605531295,194.7947598253275,72.33090732654053,207.7934422241273,49.17272727272727,1884.9590909090907,2477.195454545454,3113.195472746439,32.363927922315845,0.8446651021188885,3.446071211839055,28.077680689737388,11.01997,34.27409,11.01997,0.998682078290307,1.5083453268034466,0.3206026373824368,0.12688008915109378,exploratory
14,2.6,2.562525,3.2,2.315,0.2749999999999999,0.6374750000000002,1.1644832605531295,194.7947598253275,72.33090732654053,207.7934422241273,49.17272727272727,2076.172727272727,1672.009090909091,2666.181830007315,18.487891629220016,0.9483906903196746,6.144322432492204,40.683991646149956,11.01997,29.23457,11.01997,0.9986707673687424,0.9367104884517468,0.644865655719043,0.11863501280969478,exploratory
15,2.4,1.9677,3.2,2.315,0.07499999999999973,1.2323000000000002,-2.779833487511563,141.77150786308974,31.341350601295094,145.22110099260956,49.17272727272727,2076.172727272727,1672.009090909091,2666.181830007315,26.46597330636806,0.8951991907611792,4.252507743114755,41.29354829098679,6.27936,29.23457,6.27936,0.9993003222544703,1.0088601850340506,0.6011568261497563,0.11092886086654408,exploratory
16,2.6,2.562525,2.5,2.1100000000000003,0.47999999999999954,0.06252499999999994,1.1644832605531295,194.7947598253275,72.33090732654053,207.7934422241273,42.92857142857142,1699.9785714285713,1424.342857142857,2218.2250968409635,19.60151907195879,0.9420485586933857,5.788924980227066,32.068886493907506,11.01997,31.1406,11.01997,0.9986860983170778,1.3723404559112176,0.38998025729305263,0.08073676448232175,exploratory
17,2.8,3.33985,3.2,2.315,0.4750000000000001,0.13985000000000003,0.8606616067592725,139.42718029500213,49.90405269941286,148.09150488546652,49.17272727272727,2076.172727272727,1672.009090909091,2666.181830007315,19.16433637536387,0.9445808895581773,5.923565996945227,54.993463444916785,10.34123,29.23457,10.34123,0.9996641810527247,1.3617466244106788,0.3956691350383495,0.0735184852904246,exploratory
18,3.4,6.463775,4.3,2.795,0.5949999999999998,2.1637750000000002,4.063041365614569,191.9753242912072,8.181011535048802,192.19251388019634,49.17272727272727,1884.9590909090907,2477.195454545454,3113.195472746439,50.283119939368916,0.6389944646218898,2.1307466429367854,21.091189712260437,22.77521,34.27409,22.77521,0.9998867476376845,2.426196661526019,0.05269603200986534,0.06704568371415516,exploratory
19,2.4,1.9677,3.75,2.79,0.40000000000000036,1.7823,-2.779833487511563,141.77150786308974,31.341350601295094,145.22110099260956,85.85714285714285,1695.6928571428568,2305.9107142857138,2863.558963423409,41.29581573125589,0.7513123309377358,2.6537174296617296,29.922522756298914,6.27936,40.08983,6.27936,0.999308895555103,1.8273319771129695,0.18832782639915227,0.05422420200731693,exploratory
20,2.4,1.9677,1.8,1.7850000000000001,0.6049999999999995,0.16769999999999996,-2.779833487511563,141.77150786308974,31.341350601295094,145.22110099260956,32.053333333333335,1935.2133333333334,1671.4333333333334,2557.2969028774633,28.407834940431524,0.879583525168679,3.950825609865034,37.1074074561607,6.27936,38.359320000000004,6.27936,0.9993452963072773,1.7337699066697012,0.22246643456647816,0.04406472618655885,exploratory
