experiment,path_family,source_kind,source_pair_csv,session_id,trial,pair_id,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,d_direct_mm,d_return_mm,delta_d_mm,abs_delta_d_mm,F_direct_N,F_return_N,delta_F_N,abs_delta_F_N,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,verdict,same_d_ok,same_F_ok,force_split_ok,disp_split_ok,b_signal_ok,raw_file_found,raw_file,raw_file_warning
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_093557,1,1,,1.8,,,,,,1.79,1.94,0.15,0.15,1.7261,1.6941,-0.032,0.032,379.4961,4.808,290.282,250.713,383.5932,accepted,1,1,1,1,1,1,decouple_data\session_20260611_093557\same_f_different_d_scan_180_rep1.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_093557,2,2,,1.8,,,,,,1.71,1.86,0.15,0.15,1.73885,1.70295,-0.0359,0.0359,381.0542,4.207,290.883,250.715,384.0425,accepted,1,1,1,1,1,1,decouple_data\session_20260611_093557\same_f_different_d_scan_180_rep2.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_093557,3,3,,1.8,,,,,,1.71,1.86,0.15,0.15,1.7373,1.709,-0.0283,0.0283,380.5753,5.1085,289.08,251.681,383.3232,accepted,1,1,1,1,1,1,decouple_data\session_20260611_093557\same_f_different_d_scan_180_rep3.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_110131,1,1,,2.5,,,,,,2.06,2.2,0.14,0.14,2.39495,2.42175,0.0268,0.0268,309.035,6.01,234.99,204.248,311.406,accepted,1,1,1,1,1,1,decouple_data\session_20260611_110131\same_f_different_d_scan_250_rep1.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_110131,2,2,,2.5,,,,,,2.02,2.16,0.14,0.14,2.4252,2.4632,0.038,0.038,308.7834,5.409,237.997,198.44,309.9198,accepted,1,1,1,1,1,1,decouple_data\session_20260611_110131\same_f_different_d_scan_250_rep2.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_110131,3,3,,2.5,,,,,,2.04,2.18,0.14,0.14,2.433,2.47775,0.04475,0.04475,311.0593,6.01,241.0,199.408,312.8589,accepted,1,1,1,1,1,1,decouple_data\session_20260611_110131\same_f_different_d_scan_250_rep3.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_142649,1,1,,3.2,,,,,,2.28,2.39,0.11,0.11,3.13205,3.08475,-0.0473,0.0473,290.2834,6.01,228.379,181.016,291.4788,accepted,1,1,1,1,1,1,decouple_data\session_20260611_142649\same_f_different_d_scan_320_rep1.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_142649,2,2,,3.2,,,,,,2.26,2.37,0.11,0.11,3.129,3.0938,-0.0352,0.0352,290.8929,5.409,227.178,183.921,292.3457,accepted,1,1,1,1,1,1,decouple_data\session_20260611_142649\same_f_different_d_scan_320_rep2.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_145735,1,3,,3.2,,,,,,2.24,2.36,0.12,0.12,3.08875,3.06465,-0.0241,0.0241,328.0724,4.808,251.819,211.992,329.2059,accepted,1,1,1,1,1,1,decouple_data\session_20260611_145735\same_f_different_d_scan_320_rep1.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260611_153032,1,1,,3.75,,,,,,3.07,3.19,0.12,0.12,3.67155,3.7123,0.04075,0.04075,338.1074,8.7145,203.739,272.975,340.7358,accepted,1,1,1,1,1,1,decouple_data\session_20260611_153032\same_f_different_d_scan_375_rep1.csv,
