experiment,path_family,session_id,trial,pair_id,raw_file,state_label,path_label,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,F_N,d_mm,Bx_uT,By_uT,Bz_uT,Bmag_uT,delta_Bx_from_B0_uT,delta_By_from_B0_uT,delta_Bz_from_B0_uT,summary_window_s,state_n_samples,state_duration_s,pair_delta_F_N,pair_delta_d_mm,pair_delta_Bvec_uT,pair_verdict,source_kind,source_state_csv,cycle_index,state_index,branch,path_mode,phase
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,4,4,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_360,direct_loading,360,,3.6,3.8,0.19999999999999973,0.0,,13.5845,3.59,-597.393,7452.999,8988.848,11692.4947,-118.2082,4213.8414,6411.4923,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,4.0,7.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,4,4,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,preload_d_380,preload_deep,380,,3.8,3.8,0.0,30.0,,16.43725,3.78,-608.211,7832.229,9314.095,12184.9369,-129.0262,4593.0714,6736.7393,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,4.0,8.0,preload,preload_loading,preload_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,4,4,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_360,return_unloading,360,,3.6,3.8,0.19999999999999973,30.0,,11.7003,3.61,-607.61,7651.328,9082.746,11891.5484,-128.4252,4412.1704,6505.3903,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,4.0,9.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,4,4,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_350,return_unloading,350,,3.5,3.8,0.2999999999999998,30.0,,9.54875,3.48,-606.408,7463.816,8876.56,11613.3692,-127.2232,4224.6584,6299.2043,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,4.0,10.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,4,4,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_340,return_unloading,340,,3.4,3.8,0.3999999999999999,30.0,,8.5549,3.4,-605.207,7346.623,8755.562,11444.6919,-126.0222,4107.4654,6178.2063,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,4.0,11.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,4,4,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_330,return_unloading,330,,3.3,3.8,0.5,30.0,,7.21435,3.28,-604.004,7125.453,8532.922,11133.0317,-124.8192,3886.2954,5955.5663,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,4.0,12.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,4,4,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_320,return_unloading,320,,3.2,3.8,0.5999999999999996,30.0,,6.503,3.2,-603.1025,7011.866,8391.594,10951.9725,-123.9177,3772.7084,5814.2383,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,4.0,13.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,4,4,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_310,return_unloading,310,,3.1,3.8,0.6999999999999997,30.0,,5.5489,3.07,-603.403,6826.757,8130.234,10633.9054,-124.2182,3587.5994,5552.8783,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,4.0,14.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,4,4,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_300,return_unloading,300,,3.0,3.8,0.7999999999999998,30.0,,5.02825,3.0,-603.403,6723.986,7972.448,10446.5177,-124.2182,3484.8284,5395.0923,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,4.0,15.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_300,direct_loading,300,,3.0,3.8,0.7999999999999998,0.0,,6.8056,2.98,-575.757,6326.727,7756.584,10025.9191,-96.8843,3090.4973,5179.3586,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,1.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_310,direct_loading,310,,3.1,3.8,0.6999999999999997,0.0,,7.7008,3.09,-577.56,6479.0795,7958.898,10278.6439,-98.6873,3242.8498,5381.6726,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,2.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_320,direct_loading,320,,3.2,3.8,0.5999999999999996,0.0,,8.5695,3.19,-580.565,6647.357,8161.208,10542.0903,-101.6923,3411.1273,5583.9826,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,3.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_330,direct_loading,330,,3.3,3.8,0.5,0.0,,9.51245,3.28,-582.368,6821.951,8360.615,10806.6681,-103.4953,3585.7213,5783.3896,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,4.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_340,direct_loading,340,,3.4,3.8,0.3999999999999999,0.0,,10.5797,3.38,-585.373,7005.855,8550.346,11070.1116,-106.5003,3769.6253,5973.1206,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,5.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_350,direct_loading,350,,3.5,3.8,0.2999999999999998,0.0,,11.7194,3.48,-588.6785,7183.45,8732.33,11322.2804,-109.8058,3947.2203,6155.1046,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,6.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_360,direct_loading,360,,3.6,3.8,0.19999999999999973,0.0,,12.9935,3.59,-593.788,7363.45,8908.506,11572.6987,-114.9153,4127.2203,6331.2806,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,7.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,preload_d_380,preload_deep,380,,3.8,3.8,0.0,30.0,,15.75395,3.78,-604.906,7744.485,9244.4,12075.2601,-126.0333,4508.2553,6667.1746,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,8.0,preload,preload_loading,preload_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_360,return_unloading,360,,3.6,3.8,0.19999999999999973,30.0,,11.15345,3.61,-602.802,7560.578,9003.37,11772.3223,-123.9293,4324.3483,6426.1446,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,9.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_350,return_unloading,350,,3.5,3.8,0.2999999999999998,30.0,,9.1213,3.48,-602.201,7370.663,8796.701,11491.5059,-123.3283,4134.4333,6219.4756,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,10.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_340,return_unloading,340,,3.4,3.8,0.3999999999999999,30.0,,8.1741,3.4,-600.999,7252.866,8673.28,11322.5794,-122.1263,4016.6363,6096.0546,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,11.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_330,return_unloading,330,,3.3,3.8,0.5,30.0,,6.89025,3.28,-599.797,7035.0035,8448.703,11010.1914,-120.9243,3798.7738,5871.4776,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,12.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_320,return_unloading,320,,3.2,3.8,0.5999999999999996,30.0,,6.2317,3.21,-599.196,6934.936,8307.375,10837.6972,-120.3233,3698.7063,5730.1496,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,13.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_310,return_unloading,310,,3.1,3.8,0.6999999999999997,30.0,,5.3129,3.09,-600.398,6753.434,8043.112,10519.5532,-121.5253,3517.2043,5465.8866,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,14.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_112044,5,5,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_300,return_unloading,300,,3.0,3.8,0.7999999999999998,30.0,,4.81265,3.0,-599.797,6651.866,7883.392,10331.8589,-120.9243,3415.6363,5306.1666,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_112044\local_minor_loop_dense_5p1B_state_summary.csv,5.0,15.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_300,direct_loading,300,,3.0,3.8,0.7999999999999998,0.0,,6.9762,2.98,-578.762,6335.741,7766.264,10038.9717,-98.8466,3124.1535,5230.5081,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,1.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_310,direct_loading,310,,3.1,3.8,0.6999999999999997,0.0,,7.8615,3.09,-580.565,6484.789,7958.898,10282.5492,-100.6496,3273.2015,5423.1421,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,2.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_320,direct_loading,320,,3.2,3.8,0.5999999999999996,0.0,,8.6998,3.19,-582.969,6652.469,8154.432,10539.7847,-103.0536,3440.8815,5618.6761,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,3.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_330,direct_loading,330,,3.3,3.8,0.5,0.0,,9.6231,3.28,-586.575,6827.96,8352.874,10804.1766,-106.6596,3616.3725,5817.1181,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,4.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_340,direct_loading,340,,3.4,3.8,0.3999999999999999,0.0,,10.6619,3.38,-590.782,7008.258,8548.405,11069.9222,-110.8666,3796.6705,6012.6491,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,5.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_350,direct_loading,350,,3.5,3.8,0.2999999999999998,0.0,,11.7916,3.48,-595.59,7189.16,8744.911,11336.2159,-115.6746,3977.5725,6209.1551,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,6.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_360,direct_loading,360,,3.6,3.8,0.19999999999999973,0.0,,12.9997,3.59,-600.398,7368.858,8922.058,11587.0047,-120.4826,4157.2705,6386.3021,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,7.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,preload_d_380,preload_deep,380,,3.8,3.8,0.0,30.0,,15.5705,3.78,-613.621,7756.504,9270.538,12102.6518,-133.7056,4544.9165,6734.7821,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,8.0,preload,preload_loading,preload_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_360,return_unloading,360,,3.6,3.8,0.19999999999999973,30.0,,11.1096,3.61,-611.216,7570.797,9034.346,11802.6031,-131.3006,4359.2095,6498.5901,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,9.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_350,return_unloading,350,,3.5,3.8,0.2999999999999998,30.0,,9.1068,3.48,-610.014,7382.682,8830.095,11525.8645,-130.0986,4171.0945,6294.3391,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,10.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_340,return_unloading,340,,3.4,3.8,0.3999999999999999,30.0,,8.1651,3.4,-608.812,7266.088,8703.285,11354.3409,-128.8966,4054.5005,6167.5291,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,11.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_330,return_unloading,330,,3.3,3.8,0.5,30.0,,6.8824,3.28,-607.009,7049.127,8476.773,11042.0959,-127.0936,3837.5395,5941.0171,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,12.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_320,return_unloading,320,,3.2,3.8,0.5999999999999996,30.0,,6.2315,3.21,-607.009,6949.96,8333.514,10867.914,-127.0936,3738.3725,5797.7581,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,13.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_310,return_unloading,310,,3.1,3.8,0.6999999999999997,30.0,,5.31655,3.09,-607.61,6769.063,8061.504,10544.123,-127.6946,3557.4755,5525.7481,5.0,114,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,14.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,1,1,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_300,return_unloading,300,,3.0,3.8,0.7999999999999998,30.0,,4.8119,3.0,-607.009,6665.687,7895.976,10351.6093,-127.0936,3454.0995,5360.2201,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,1.0,15.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_300,direct_loading,300,,3.0,3.8,0.7999999999999998,0.0,,6.9613,2.98,-578.162,6350.765,7802.08,10075.5338,-98.1163,3116.8252,5228.5425,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,1.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_310,direct_loading,310,,3.1,3.8,0.6999999999999997,0.0,,7.8745,3.09,-579.964,6502.218,7998.584,10323.9154,-99.9183,3268.2782,5425.0465,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,2.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_320,direct_loading,320,,3.2,3.8,0.5999999999999996,0.0,,8.7413,3.19,-582.969,6669.895,8198.962,10585.6329,-102.9233,3435.9552,5625.4245,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,3.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_330,direct_loading,330,,3.3,3.8,0.5,0.0,,9.6914,3.28,-587.176,6848.392,8402.239,10855.2055,-107.1303,3614.4522,5828.7015,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,4.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_340,direct_loading,340,,3.4,3.8,0.3999999999999999,0.0,,10.7507,3.38,-590.782,7029.895,8591.002,11115.8489,-110.7363,3795.9552,6017.4645,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,5.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_350,direct_loading,350,,3.5,3.8,0.2999999999999998,0.0,,11.8909,3.48,-594.989,7211.399,8773.952,11372.8281,-114.9433,3977.4592,6200.4145,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,6.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,loading_d_360,direct_loading,360,,3.6,3.8,0.19999999999999973,0.0,,13.1675,3.59,-600.398,7391.695,8951.093,11624.8379,-120.3523,4157.7552,6377.5555,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,7.0,loading,loading_branch,loading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,preload_d_380,preload_deep,380,,3.8,3.8,0.0,30.0,,15.8805,3.78,-614.822,7778.141,9289.898,12131.431,-134.7763,4544.2012,6716.3605,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,8.0,preload,preload_loading,preload_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_360,return_unloading,360,,3.6,3.8,0.19999999999999973,30.0,,11.2795,3.61,-610.615,7591.831,9053.701,11831.0121,-130.5693,4357.8912,6480.1635,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,9.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_350,return_unloading,350,,3.5,3.8,0.2999999999999998,30.0,,9.2284,3.48,-610.014,7403.719,8849.455,11554.8319,-129.9683,4169.7792,6275.9175,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,10.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_340,return_unloading,340,,3.4,3.8,0.3999999999999999,30.0,,8.2705,3.4,-608.812,7287.125,8726.522,11385.6034,-128.7663,4053.1852,6152.9845,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,11.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_330,return_unloading,330,,3.3,3.8,0.5,30.0,,6.9745,3.28,-605.807,7071.365,8505.818,11077.1843,-125.7613,3837.4252,5932.2805,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,12.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_320,return_unloading,320,,3.2,3.8,0.5999999999999996,30.0,,6.2961,3.2,-605.207,6967.992,8360.615,10899.8654,-125.1613,3734.0522,5787.0775,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,13.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_310,return_unloading,310,,3.1,3.8,0.6999999999999997,30.0,,5.3651,3.07,-607.009,6788.893,8092.48,10579.8412,-126.9633,3554.9532,5518.9425,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,14.0,unloading,return_unloading,unloading_dense
5.1B local minor-loop dense sampling,local_minor_loop_dense,session_20260615_143640,2,2,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,unloading_d_300,return_unloading,300,,3.0,3.8,0.7999999999999998,30.0,,4.8507,3.0,-605.807,6685.522,7927.92,10388.2195,-125.7613,3451.5822,5354.3825,5.0,113,5.0,,,,accepted,session_state_summary,decouple_data\session_20260615_143640\local_minor_loop_dense_5p1B_state_summary.csv,2.0,15.0,unloading,return_unloading,unloading_dense
