time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,nominal_d_mm,nominal_preload_d_mm,motion_depth_from_start_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781638180.812322,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,3.3679,0.050600,-447.1430,2607.1360,2590.3680,2.0534,1.8755,5.1939,3702.3103,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638180.901367,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,3.4561,0.050600,-452.5520,2603.5310,2585.5270,-3.3556,-1.7295,0.3529,3697.0430,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638180.989107,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,3.5449,0.049300,-447.7440,2608.9400,2586.4960,1.4524,3.6795,1.3219,3700.9464,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.077661,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,3.6331,0.050700,-450.7490,2602.3290,2587.4640,-1.5526,-2.9315,2.2899,3697.3316,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.166244,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,3.7216,0.050200,-450.1480,2608.3390,2585.5270,-0.9516,3.0785,0.3529,3700.1372,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.254341,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,3.8102,0.050300,-446.5420,2601.7270,2597.1440,2.6544,-3.5335,11.9699,3703.1797,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.343760,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,3.8987,0.049500,-445.9410,2605.3340,2585.5270,3.2554,0.0735,0.3529,3697.5098,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.431011,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,3.9873,0.049100,-452.5520,2600.5270,2580.6870,-3.3556,-4.7335,-4.4871,3691.5430,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.520701,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.0756,0.049800,-450.7490,2611.3430,2587.4640,-1.5526,6.0825,2.2899,3703.6815,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638181.609263,session_20260616_152850,1,1,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,4.1642,0.050300,-445.3400,2608.3390,2595.2080,3.8564,3.0785,10.0339,3706.3276,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
