q_mm,q_target_mm,direction,n_tail,mean_Bx_uT,sigma_Bx_uT,mean_By_uT,sigma_By_uT,mean_Bz_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
96.0,96.0,up,150,4.3858,0.4059,-54.6469,0.4356,-285.9003,0.5929,-277.0492,1114.2171,3180.2297,291.1091
98.0,98.0,up,150,0.2000,0.4189,-52.9717,0.3464,-281.7862,0.6559,-281.2350,1115.8923,3184.3438,286.7220
100.0,100.0,up,150,-3.5908,0.4043,-51.4988,0.4173,-277.9174,0.6480,-285.0258,1117.3652,3188.2126,282.6713
102.0,102.0,up,150,-7.1368,0.4215,-49.9138,0.4291,-274.2889,0.6364,-288.5718,1118.9502,3191.8411,278.8848
104.0,104.0,up,150,-10.4758,0.3963,-48.3928,0.4547,-270.7607,0.5648,-291.9108,1120.4712,3195.3693,275.2508
106.0,106.0,up,150,-13.4768,0.4347,-47.2568,0.4006,-267.6645,0.5914,-294.9118,1121.6072,3198.4655,272.1381
108.0,108.0,up,150,-16.4167,0.4242,-46.1908,0.4472,-264.6621,0.6351,-297.8517,1122.6732,3201.4679,269.1637
110.0,110.0,up,150,-19.1778,0.3840,-45.0729,0.3950,-261.7339,0.6361,-300.6128,1123.7911,3204.3961,266.2780
112.0,112.0,up,150,-21.7868,0.4214,-44.0588,0.4200,-259.0736,0.6733,-303.2218,1124.8052,3207.0564,263.6948
114.0,114.0,up,150,-24.0938,0.4093,-43.1378,0.4168,-256.4343,0.6052,-305.5288,1125.7262,3209.6957,261.1512
116.0,116.0,up,150,-26.4568,0.3853,-42.4238,0.4280,-254.3643,0.6379,-307.8918,1126.4402,3211.7657,259.2314
118.0,118.0,up,150,-28.5508,0.4242,-41.5948,0.3992,-252.1817,0.6073,-309.9858,1127.2692,3213.9483,257.1787
120.0,120.0,up,150,-30.5958,0.4400,-40.9108,0.4287,-250.1342,0.5851,-312.0308,1127.9532,3215.9958,255.2977
122.0,122.0,up,150,-32.3557,0.4534,-40.2068,0.3883,-248.2952,0.5372,-313.7907,1128.6572,3217.8348,253.6020
124.0,124.0,up,150,-34.2268,0.4878,-39.6028,0.3806,-246.4203,0.6113,-315.6618,1129.2612,3219.7097,251.9183
126.0,126.0,up,150,-35.8298,0.4484,-38.9498,0.3842,-244.5553,0.6199,-317.2648,1129.9142,3221.5747,250.2162
128.0,128.0,up,150,-37.5337,0.4027,-38.5168,0.4170,-242.8145,0.5733,-318.9687,1130.3472,3223.3155,248.6990
130.0,130.0,up,150,-38.9418,0.4365,-37.9697,0.3782,-241.3819,0.6305,-320.3768,1130.8943,3224.7481,247.4336
132.0,132.0,up,150,-40.4248,0.4089,-37.6468,0.3725,-239.8266,0.6480,-321.8598,1131.2172,3226.3034,246.1061
134.0,134.0,up,150,-41.7728,0.4023,-37.2648,0.4070,-238.5119,0.5783,-323.2078,1131.5992,3227.6181,244.9929
136.0,136.0,up,150,-43.1108,0.4207,-36.9728,0.4220,-237.2466,0.5687,-324.5458,1131.8912,3228.8834,243.9498
138.0,138.0,up,150,-44.3688,0.3960,-36.6017,0.4402,-236.1450,0.5964,-325.8038,1132.2623,3229.9850,243.0488
140.0,140.0,up,150,-45.4778,0.4533,-36.2717,0.4106,-234.8479,0.6305,-326.9128,1132.5923,3231.2821,241.9450
