trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,90,holding,force_hold,0.81000,0.788800,-0.021200,3.0900,-4.8800,5.8714,none,47.4790,-4166.7310,-4442.1520,34.2580,-691.6755,-2891.4967,6090.6991
1,90,holding,force_hold,0.81000,0.790900,-0.019100,3.0900,-4.8800,5.9593,none,48.6800,-4166.7310,-4444.0880,35.4590,-691.6755,-2893.4327,6092.1207
1,90,holding,force_hold,0.81000,0.793300,-0.016700,3.0900,-4.8800,6.0475,none,47.4790,-4167.3330,-4445.0550,34.2580,-692.2775,-2894.3997,6093.2284
1,90,holding,force_hold,0.81000,0.792400,-0.017600,3.0900,-4.8800,6.1365,none,47.4790,-4167.3330,-4444.0880,34.2580,-692.2775,-2893.4327,6092.5230
1,90,holding,force_hold,0.81000,0.792400,-0.017600,3.0900,-4.8800,6.2249,none,48.0790,-4166.1320,-4443.1190,34.8580,-691.0765,-2892.4637,6090.9994
1,90,holding,force_hold,0.81000,0.792900,-0.017100,3.0900,-4.8800,6.3133,none,48.6800,-4167.3330,-4444.0880,35.4590,-692.2775,-2893.4327,6092.5325
1,90,holding,force_hold,0.81000,0.791100,-0.018900,3.0900,-4.8800,6.4012,none,48.0790,-4166.1320,-4443.1190,34.8580,-691.0765,-2892.4637,6090.9994
1,90,holding,force_hold,0.81000,0.790800,-0.019200,3.0900,-4.8800,6.4896,none,48.0790,-4166.7310,-4444.0880,34.8580,-691.6755,-2893.4327,6092.1160
1,90,holding,force_hold,0.81000,0.789500,-0.020500,3.0900,-4.8800,6.5781,none,48.0790,-4167.9340,-4444.0880,34.8580,-692.8785,-2893.4327,6092.9388
1,90,holding,force_hold,0.81000,0.788400,-0.021600,3.0900,-4.8800,6.6670,none,48.6800,-4166.7310,-4444.0880,35.4590,-691.6755,-2893.4327,6092.1207
1,90,holding,force_hold,0.81000,0.790500,-0.019500,3.0900,-4.8800,6.7558,none,48.0790,-4167.3330,-4443.1190,34.8580,-692.2775,-2892.4637,6091.8209
1,90,holding,force_hold,0.81000,0.790600,-0.019400,3.0900,-4.8800,6.8440,none,48.6800,-4166.1320,-4444.0880,35.4590,-691.0765,-2893.4327,6091.7111
1,90,holding,force_hold,0.81000,0.789700,-0.020300,3.0900,-4.8800,6.9324,none,48.6800,-4167.9340,-4445.0550,35.4590,-692.8785,-2894.3997,6093.6489
1,90,holding,force_hold,0.81000,0.790100,-0.019900,3.0900,-4.8800,7.0209,none,48.0790,-4167.3330,-4445.0550,34.8580,-692.2775,-2894.3997,6093.2331
1,90,holding,force_hold,0.81000,0.789700,-0.020300,3.0900,-4.8800,7.1090,none,48.6800,-4166.1320,-4443.1190,35.4590,-691.0765,-2892.4637,6091.0042
1,90,holding,force_hold,0.81000,0.788800,-0.021200,3.0900,-4.8800,7.1975,none,48.0790,-4166.7310,-4445.0550,34.8580,-691.6755,-2894.3997,6092.8214
1,90,holding,force_hold,0.81000,0.788500,-0.021500,3.0900,-4.8800,7.2860,none,48.0790,-4166.1320,-4441.1840,34.8580,-691.0765,-2890.5287,6089.5881
1,90,holding,force_hold,0.81000,0.789300,-0.020700,3.1100,-4.9000,7.3744,down,49.2810,-4165.5300,-4444.0880,36.0600,-690.4745,-2893.4327,6091.3042
1,90,holding,force_hold,0.81000,0.790300,-0.019700,3.1100,-4.9000,11.6220,down,48.0790,-4166.1320,-4442.1520,34.8580,-691.0765,-2891.4967,6090.2941
1,90,holding,force_hold,0.81000,0.790100,-0.019900,3.1100,-4.9000,15.7975,down,48.0790,-4166.1320,-4442.1520,34.8580,-691.0765,-2891.4967,6090.2941
1,90,holding,force_hold,0.81000,0.792000,-0.018000,3.1100,-4.9000,19.9641,down,47.4790,-4166.1320,-4443.1190,34.2580,-691.0765,-2892.4637,6090.9947
1,90,holding,force_hold,0.81000,0.791100,-0.018900,3.1100,-4.9000,24.1530,down,48.0790,-4166.1320,-4442.1520,34.8580,-691.0765,-2891.4967,6090.2941
1,90,holding,force_hold,0.81000,0.790800,-0.019200,3.1100,-4.9000,28.3264,none,49.2810,-4164.9290,-4442.1520,36.0600,-689.8735,-2891.4967,6089.4808
1,90,holding,force_hold,0.81000,0.789500,-0.020500,3.1100,-4.9000,28.3276,none,48.0790,-4165.5300,-4443.1190,34.8580,-690.4745,-2892.4637,6090.5877
1,90,holding,force_hold,0.81000,0.788200,-0.021800,3.1100,-4.9000,28.3286,none,48.6800,-4166.1320,-4444.0880,35.4590,-691.0765,-2893.4327,6091.7111
1,90,holding,force_hold,0.81000,0.789800,-0.020200,3.1100,-4.9000,28.3295,none,48.6800,-4167.3330,-4445.0550,35.4590,-692.2775,-2894.3997,6093.2379
1,90,holding,force_hold,0.81000,0.794300,-0.015700,3.1100,-4.9000,28.3305,none,48.6800,-4165.5300,-4442.1520,35.4590,-690.4745,-2891.4967,6089.8871
1,90,holding,force_hold,0.81000,0.791900,-0.018100,3.1100,-4.9000,28.3314,none,49.2810,-4166.7310,-4444.0880,36.0600,-691.6755,-2893.4327,6092.1256
1,90,holding,force_hold,0.81000,0.790900,-0.019100,3.1100,-4.9000,28.3323,none,48.0790,-4166.7310,-4443.1190,34.8580,-691.6755,-2892.4637,6091.4091
1,90,holding,force_hold,0.81000,0.789400,-0.020600,3.1100,-4.9000,28.3332,none,47.4790,-4165.5300,-4444.0880,34.2580,-690.4745,-2893.4327,6091.2899
1,90,holding,force_hold,0.81000,0.788800,-0.021200,3.1100,-4.9000,28.3341,none,48.0790,-4166.7310,-4442.1520,34.8580,-691.6755,-2891.4967,6090.7038
1,90,holding,force_hold,0.81000,0.789800,-0.020200,3.1100,-4.9000,28.3351,none,48.6800,-4166.1320,-4443.1190,35.4590,-691.0765,-2892.4637,6091.0042
1,90,holding,force_hold,0.81000,0.792000,-0.018000,3.1100,-4.9000,28.3361,none,48.0790,-4165.5300,-4442.1520,34.8580,-690.4745,-2891.4967,6089.8823
1,90,holding,force_hold,0.81000,0.791200,-0.018800,3.1100,-4.9000,28.3371,none,48.6800,-4166.1320,-4442.1520,35.4590,-691.0765,-2891.4967,6090.2988
1,90,holding,force_hold,0.81000,0.791000,-0.019000,3.1100,-4.9000,28.3381,none,48.6800,-4167.3330,-4443.1190,35.4590,-692.2775,-2892.4637,6091.8257
1,90,holding,force_hold,0.81000,0.789700,-0.020300,3.1100,-4.9000,28.3391,none,48.0790,-4167.9340,-4442.1520,34.8580,-692.8785,-2891.4967,6091.5269
1,90,holding,force_hold,0.81000,0.790300,-0.019700,3.1100,-4.9000,28.3400,none,48.6800,-4165.5300,-4442.1520,35.4590,-690.4745,-2891.4967,6089.8871
1,90,holding,force_hold,0.81000,0.790000,-0.020000,3.1100,-4.9000,28.3405,none,48.6800,-4165.5300,-4441.1840,35.4590,-690.4745,-2890.5287,6089.1810
1,90,holding,force_hold,0.81000,0.789900,-0.020100,3.1100,-4.9000,28.3409,none,47.4790,-4165.5300,-4443.1190,34.2580,-690.4745,-2892.4637,6090.5830
1,90,holding,force_hold,0.81000,0.791100,-0.018900,3.1100,-4.9000,28.3413,none,48.6800,-4166.1320,-4442.1520,35.4590,-691.0765,-2891.4967,6090.2988
1,90,holding,force_hold,0.81000,0.790900,-0.019100,3.1100,-4.9000,28.3417,none,48.0790,-4164.9290,-4442.1520,34.8580,-689.8735,-2891.4967,6089.4712
1,90,holding,force_hold,0.81000,0.788300,-0.021700,3.1100,-4.9000,28.3421,none,48.0790,-4164.3270,-4442.1520,34.8580,-689.2715,-2891.4967,6089.0595
1,90,holding,force_hold,0.81000,0.789200,-0.020800,3.1100,-4.9000,28.3426,none,48.0790,-4166.1320,-4442.1520,34.8580,-691.0765,-2891.4967,6090.2941
1,90,holding,force_hold,0.81000,0.788300,-0.021700,3.1100,-4.9000,28.3432,none,48.6800,-4166.1320,-4441.1840,35.4590,-691.0765,-2890.5287,6089.5928
1,90,holding,force_hold,0.81000,0.788100,-0.021900,3.1100,-4.9000,28.3436,none,48.0790,-4164.3270,-4442.1520,34.8580,-689.2715,-2891.4967,6089.0595
1,90,holding,force_hold,0.81000,0.789700,-0.020300,3.1100,-4.9000,28.3440,none,48.6800,-4166.1320,-4443.1190,35.4590,-691.0765,-2892.4637,6091.0042
1,90,holding,force_hold,0.81000,0.790800,-0.019200,3.1100,-4.9000,28.3444,none,48.6800,-4166.7310,-4442.1520,35.4590,-691.6755,-2891.4967,6090.7086
1,90,holding,force_hold,0.81000,0.798800,-0.011200,3.1100,-4.9000,28.3448,none,48.0790,-4166.1320,-4443.1190,34.8580,-691.0765,-2892.4637,6090.9994
1,90,holding,force_hold,0.81000,0.810300,0.000300,3.1100,-4.9000,28.3452,none,47.4790,-4166.1320,-4442.1520,34.2580,-691.0765,-2891.4967,6090.2894
