time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780345053.782385,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.5697,1.924700,1033.1190,-5136.7440,9088.5540,331.6461,-5749.1423,4538.3427,10490.7239,,,
1780345053.870433,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.6578,1.923800,1033.7200,-5140.3510,9076.9380,332.2471,-5752.7493,4526.7267,10482.4896,,,
1780345053.958207,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.7457,1.921200,1028.9120,-5135.5440,9071.1300,327.4391,-5747.9423,4520.9187,10474.6299,,,
1780345054.046487,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.8337,1.922100,1035.5220,-5136.1440,9076.9380,334.0491,-5748.5423,4526.7267,10480.6052,,,
1780345054.134565,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.9221,1.920500,1026.5070,-5139.7510,9073.0610,325.0341,-5752.1493,4522.8497,10478.1293,,,
1780345054.222832,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.0098,1.921100,1037.3260,-5141.5540,9072.0950,335.8531,-5753.9523,4521.8837,10479.2428,,,
1780345054.310582,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.0979,1.921800,1028.9120,-5130.7350,9085.6480,327.4391,-5743.1333,4535.4367,10484.8510,,,
1780345054.398630,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.1859,1.920800,1030.7140,-5129.5330,9078.8740,329.2411,-5741.9313,4528.6627,10478.5702,,,
1780345054.486469,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.2742,1.920200,1031.9160,-5139.7510,9075.9680,330.4431,-5752.1493,4525.7567,10481.1777,,,
1780345054.574727,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.3620,1.919500,1035.5220,-5138.5460,9063.3860,334.0491,-5750.9443,4513.1747,10470.0490,,,
1780345054.662738,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.4500,1.920400,1030.1130,-5133.1410,9076.9380,328.6401,-5745.5393,4526.7267,10478.6007,,,
1780345054.750453,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.5384,1.919800,1031.9160,-5130.7350,9079.8400,330.4431,-5743.1333,4529.6287,10480.1139,,,
1780345054.838913,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,4.6261,1.920700,1034.9210,-5136.1440,9072.0950,333.4481,-5748.5423,4521.8837,10476.3517,,,
