time_s,session_id,trial,repeat_id,pair_id,state_index,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,nominal_F_target_N,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780424791.724680,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93180,2.05000,2.05000,1.931800,-0.118200,nan,4.5600,4.5600,,-8.1500,2.9085,-2515.7850,12357.1570,3297.9760,-2515.7850,12357.1570,3297.9760,-1303.2603,6564.0882,652.5741,13034.7669,,,
1780424791.812818,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93420,2.05000,2.05000,1.934200,-0.115800,nan,4.5600,4.5600,,-8.1500,2.9968,-2518.1880,12356.5590,3301.8470,-2518.1880,12356.5590,3301.8470,-1305.6633,6563.4902,656.4451,13035.6440,,,
1780424791.901116,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93650,2.05000,2.05000,1.936500,-0.113500,nan,4.5600,4.5600,,-8.1500,3.0849,-2514.5830,12342.1330,3289.2640,-2514.5830,12342.1330,3289.2640,-1302.0583,6549.0642,643.8621,13018.0887,,,
1780424791.989645,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92820,2.05000,2.05000,1.928200,-0.121800,nan,4.5600,4.5600,,-8.1500,3.1731,-2523.5970,12344.5380,3297.9760,-2523.5970,12344.5380,3297.9760,-1311.0723,6551.4692,652.5741,13024.3159,,,
1780424792.077811,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92420,2.05000,2.05000,1.924200,-0.125800,nan,4.5600,4.5600,,-8.1500,3.2613,-2520.5930,12353.5520,3301.8470,-2520.5930,12353.5520,3301.8470,-1308.0683,6560.4832,656.4451,13033.2586,,,
1780424792.165876,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92420,2.05000,2.05000,1.924200,-0.125800,nan,4.5600,4.5600,,-8.1500,3.3494,-2523.5970,12355.9520,3296.0400,-2523.5970,12355.9520,3296.0400,-1311.0723,6562.8832,650.6381,13034.6450,,,
1780424792.253886,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92290,2.05000,2.05000,1.922900,-0.127100,nan,4.5600,4.5600,,-8.1500,3.4375,-2516.3860,12340.9330,3292.1680,-2516.3860,12340.9330,3292.1680,-1303.8613,6547.8642,646.7661,13018.0335,,,
1780424792.342646,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92300,2.05000,2.05000,1.923000,-0.127000,nan,4.5600,4.5600,,-8.1500,3.5258,-2518.1880,12354.1540,3298.9430,-2518.1880,12354.1540,3298.9430,-1305.6633,6561.0852,653.5411,13032.6289,,,
1780424792.430690,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92830,2.05000,2.05000,1.928300,-0.121700,nan,4.5600,4.5600,,-8.1500,3.6140,-2519.9920,12361.3650,3296.0400,-2519.9920,12361.3650,3296.0400,-1307.4673,6568.2962,650.6381,13039.0791,,,
1780424792.518551,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.94130,2.05000,2.05000,1.941300,-0.108700,nan,4.5600,4.5600,,-8.1500,3.7021,-2519.3900,12349.3440,3296.0400,-2519.3900,12349.3440,3296.0400,-1306.8653,6556.2752,650.6381,13027.5670,,,
1780424792.606833,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93410,2.05000,2.05000,1.934100,-0.115900,nan,4.5600,4.5600,,-8.1500,3.7903,-2518.1880,12339.7280,3302.8160,-2518.1880,12339.7280,3302.8160,-1305.6633,6546.6592,657.4141,13019.9367,,,
1780424792.694984,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93030,2.05000,2.05000,1.930300,-0.119700,nan,4.5600,4.5600,,-8.1500,3.8783,-2518.7900,12345.7380,3297.0070,-2518.7900,12345.7380,3297.0070,-1306.2653,6552.6692,651.6051,13024.2775,,,
1780424792.783315,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.91580,2.05000,2.05000,1.915800,-0.134200,nan,4.5600,4.5600,,-8.1500,3.9666,-2519.9920,12367.9730,3300.8800,-2519.9920,12367.9730,3300.8800,-1307.4673,6574.9042,655.4781,13046.5675,,,
1780424792.871587,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92370,2.05000,2.05000,1.923700,-0.126300,nan,4.5600,4.5600,,-8.1500,4.0548,-2515.7850,12358.9600,3295.0720,-2515.7850,12358.9600,3295.0720,-1303.2603,6565.8912,649.6701,13035.7419,,,
1780424792.959239,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93050,2.05000,2.05000,1.930500,-0.119500,nan,4.5600,4.5600,,-8.1500,4.1436,-2513.9810,12337.9250,3299.9120,-2513.9810,12337.9250,3299.9120,-1301.4563,6544.8562,654.5101,13016.6783,,,
1780424793.049013,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92190,2.05000,2.05000,1.921900,-0.128100,nan,4.5600,4.5600,,-8.1500,4.2312,-2522.3950,12359.5620,3310.5590,-2522.3950,12359.5620,3310.5590,-1309.8703,6566.4932,665.1571,13041.5126,,,
1780424793.135441,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92320,2.05000,2.05000,1.923200,-0.126800,nan,4.5600,4.5600,,-8.1500,4.3204,-2526.0020,12338.5270,3286.3590,-2526.0020,12338.5270,3286.3590,-1313.4773,6545.4582,640.9571,13016.1473,,,
1780424793.223987,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92810,2.05000,2.05000,1.928100,-0.121900,nan,4.5600,4.5600,,-8.1500,4.4073,-2521.1950,12357.1570,3288.2960,-2521.1950,12357.1570,3288.2960,-1308.6703,6564.0882,642.8941,13033.3666,,,
1780424793.312517,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92890,2.05000,2.05000,1.928900,-0.121100,nan,4.5600,4.5600,,-8.1500,4.4956,-2519.3900,12354.1540,3301.8470,-2519.3900,12354.1540,3301.8470,-1306.8653,6561.0852,656.4451,13033.5966,,,
1780424793.400462,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93050,2.05000,2.05000,1.930500,-0.119500,nan,4.5600,4.5600,,-8.1500,4.5840,-2518.1880,12361.3650,3299.9120,-2518.1880,12361.3650,3299.9120,-1305.6633,6568.2962,654.5101,13039.7099,,,
1780424793.489074,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92910,2.05000,2.05000,1.929100,-0.120900,nan,4.5600,4.5600,,-8.1500,4.6720,-2519.9920,12354.7520,3295.0720,-2519.9920,12354.7520,3295.0720,-1307.4673,6561.6832,649.6701,13032.5652,,,
1780424793.577404,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92240,2.05000,2.05000,1.922400,-0.127600,nan,4.5600,4.5600,,-8.1500,4.7602,-2517.5880,12349.9460,3297.9760,-2517.5880,12349.9460,3297.9760,-1305.0633,6556.8772,652.5741,13028.2793,,,
1780424793.664879,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92600,2.05000,2.05000,1.926000,-0.124000,nan,4.5600,4.5600,,-8.1500,4.8487,-2514.5830,12362.5650,3297.0070,-2514.5830,12362.5650,3297.0070,-1302.0583,6569.4962,651.6051,13039.4170,,,
1780424793.753023,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92130,2.05000,2.05000,1.921300,-0.128700,nan,4.5600,4.5600,,-8.1500,4.9364,-2520.5930,12366.1750,3298.9430,-2520.5930,12366.1750,3298.9430,-1308.0683,6573.1062,653.5411,13044.4892,,,
1780424793.841254,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92630,2.05000,2.05000,1.926300,-0.123700,nan,4.5600,4.5600,,-8.1500,5.0247,-2521.1950,12365.5730,3296.0400,-2521.1950,12365.5730,3296.0400,-1308.6703,6572.5042,650.6381,13043.3009,,,
1780424793.929565,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92850,2.05000,2.05000,1.928500,-0.121500,nan,4.5600,4.5600,,-8.1500,5.1130,-2521.1950,12369.1780,3301.8470,-2521.1950,12369.1780,3301.8470,-1308.6703,6576.1092,656.4451,13048.1869,,,
1780424794.017408,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92960,2.05000,2.05000,1.929600,-0.120400,nan,4.5600,4.5600,,-8.1500,5.2011,-2518.7900,12355.3540,3298.9430,-2518.7900,12355.3540,3298.9430,-1306.2653,6562.2852,653.5411,13033.8828,,,
1780424794.105546,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92960,2.05000,2.05000,1.929600,-0.120400,nan,4.5600,4.5600,,-8.1500,5.2893,-2515.1830,12355.9520,3304.7520,-2515.1830,12355.9520,3304.7520,-1302.6583,6562.8832,659.3501,13035.2246,,,
1780424794.193938,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.91910,2.05000,2.05000,1.919100,-0.130900,nan,4.5600,4.5600,,-8.1500,5.3773,-2516.9880,12357.7600,3293.1360,-2516.9880,12357.7600,3293.1360,-1304.4633,6564.6912,647.7341,13034.3471,,,
1780424794.282298,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.91730,2.05000,2.05000,1.917300,-0.132700,nan,4.5600,4.5600,,-8.1500,5.4654,-2518.1880,12351.7490,3293.1360,-2518.1880,12351.7490,3293.1360,-1305.6633,6558.6802,647.7341,13028.8802,,,
1780424794.369911,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.91920,2.05000,2.05000,1.919200,-0.130800,nan,4.5600,4.5600,,-8.1500,5.5537,-2519.3900,12351.7490,3296.0400,-2519.3900,12351.7490,3296.0400,-1306.8653,6558.6802,650.6381,13029.8469,,,
1780424794.458816,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92800,2.05000,2.05000,1.928000,-0.122000,nan,4.5600,4.5600,,-8.1500,5.6419,-2518.1880,12350.5440,3293.1360,-2518.1880,12350.5440,3293.1360,-1305.6633,6557.4752,647.7341,13027.7378,,,
1780424794.547118,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92220,2.05000,2.05000,1.922200,-0.127800,nan,4.5600,4.5600,,-8.1500,5.7301,-2518.7900,12346.9380,3296.0400,-2518.7900,12346.9380,3296.0400,-1306.2653,6553.8692,650.6381,13025.1703,,,
1780424794.634772,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.91930,2.05000,2.05000,1.919300,-0.130700,nan,4.5600,4.5600,,-8.1500,5.8184,-2521.1950,12353.5520,3300.8800,-2521.1950,12353.5520,3300.8800,-1308.6703,6560.4832,655.4781,13033.1301,,,
1780424794.723059,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.91810,2.05000,2.05000,1.918100,-0.131900,nan,4.5600,4.5600,,-8.1500,5.9063,-2520.5930,12351.7490,3295.0720,-2520.5930,12351.7490,3295.0720,-1308.0683,6558.6802,649.6701,13029.8347,,,
1780424794.811438,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92380,2.05000,2.05000,1.923800,-0.126200,nan,4.5600,4.5600,,-8.1500,5.9945,-2514.5830,12348.7460,3293.1360,-2514.5830,12348.7460,3293.1360,-1302.0583,6555.6772,647.7341,13025.3369,,,
1780424794.899210,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92830,2.05000,2.05000,1.928300,-0.121700,nan,4.5600,4.5600,,-8.1500,6.0829,-2517.5880,12369.1780,3298.9430,-2517.5880,12369.1780,3298.9430,-1305.0633,6576.1092,653.5411,13046.7559,,,
